,current_location,current_work,previous_work,latest_Education,major,search_school,latitude,longitude,state,county,city,fips,current_company,previous_company,current_company_industry,previous_company_industry
1144,"Truckee, California, United States",Chief Strategy Officer at See Change Institute,"Senior Managing Consultant at ILLUME Advising, LLC","University of California, Berkeley",Biology,Brown University,39.327962,-120.183253,California,Nevada,,6057.0,See Change Institute,"ILLUME Advising, LLC",,
1145,"Norwalk, Connecticut, United States",Sr R&D Manager - Simple Skincare at Unilever,Sr R&D Manager - Consumer Technical Insights (CTI)  at Unilever,Brown University School of Engineering,Chemical and Biomolecular Engineering,Brown University,41.117597,-73.407897,Connecticut,Fairfield,Norwalk,9001.0,Unilever,Unilever,561499 Videoconferencing services,561499 Videoconferencing services
1146,"Boston, Massachusetts, United States","Vice President, Strategy and Marketing at Thermo Fisher Scientific","Vice President, Corporate Strategy at Thermo Fisher Scientific",Harvard Business School,Electrical Engineering,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Thermo Fisher Scientific,Thermo Fisher Scientific,335999 UPS (uninterruptible power supplies) manufacturing,335999 UPS (uninterruptible power supplies) manufacturing
1147,New York City  ,Chief Growth Officer at The Acceleration Project,Chief Operating Officer at The Acceleration Project,Columbia University - Columbia Business School,Marketing and Finance,Brown University,40.712728,-74.006015,New York,,New York,36061.0,The Acceleration Project,The Acceleration Project,,
1148,"Houston, Texas, United States",Director of Procurement - North America at Fives,Sr. Manager - Global Strategic Sourcing at Hewlett Packard Enterprise,Massachusetts Institute of Technology,Supply Chain Management & Logistics,Brown University,29.758938,-95.367697,Texas,Harris,Houston,48201.0,Fives,Hewlett Packard Enterprise,423830 Woodworking machinery merchant wholesalers,"334112 Tape storage units (e.g., drive backups), computer peripheral equipment, manufacturing"
1149,Kenya,"Co-Founder, Chief Technology and Risk Officer at Lendable Marketplace",Systems Design and Text Programming at A Piece of Work,Brown University,Computer Science,Brown University,1.441968,38.431398,,,,,Lendable Marketplace,A Piece of Work,,
1150,"Tucson, Arizona, United States",Senior Vice President Of Technology at pMD,Vice President of Software Engineering at pMD,Brown University,Computer Science,Brown University,32.222876,-110.974848,Arizona,Pima,Tucson,4019.0,pMD,pMD,999990,999990
1151,United States,"Managing Director, Chief Operating Officer at Vestar Capital Partners",,Brown University,,Brown University,39.78373,-100.445882,,,,,Vestar Capital Partners,,523910 Viatical settlement companies,
1152, Seattle ,Chief Product Officer at HubSpot,"Senior Director, Google Ads at Google",Brown University,,Brown University,47.603832,-122.330062,Washington,King,Seattle,53033.0,HubSpot,Google,"511210 Utility software, computer, packaged","541512 Systems integration design services, computer"
1153,"Los Angeles, California, United States",Co-Founder at Heirloom,Business Development & Operations at Hulu,Harvard Business School,,Brown University,34.053691,-118.242766,California,Los Angeles,Los Angeles,6037.0,Heirloom,Hulu,424910 Vegetable dusts and sprays merchant wholesalers,213111 Workover of oil and gas wells on a contract basis
1154,San Francisco Bay ,Head of Marketing at Touch of Modern,"Principal at Wehmann Consulting, LLC",Brown University,Political Science,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Touch of Modern,"Wehmann Consulting, LLC",,
1155, Boston,"Vice President, Business Development & Strategy at Stealth BioTherapeutics","Executive & Senior Director, Business Development & New Product Planning at Stealth BioTherapeutics",University of Virginia - Darden Graduate School of Business Administration,Biology,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Stealth BioTherapeutics,Stealth BioTherapeutics,325412 Zinc oxide medicinal preparations manufacturing,325412 Zinc oxide medicinal preparations manufacturing
1156, Boston,Director Q/A Engineering at Akamai Technologies,Sr. Manager Q/A Engineering at Akamai Technologies,+ 1 more,Computer Science,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Akamai Technologies,Akamai Technologies,518210 Web hosting,518210 Web hosting
1157,"Glencoe, Illinois, United States","Vice President, Global Marketing, Home Storage (Ziploc) and Global Shoe Care  at SC Johnson","Vice President, Consumer Insights & Business Analytics at SC Johnson",2002–2004,,Brown University,42.135027,-87.758119,Illinois,Cook,,17031.0,SC Johnson,SC Johnson,325412 Zinc oxide medicinal preparations manufacturing,325412 Zinc oxide medicinal preparations manufacturing
1158,"Mumbai, Maharashtra, India",Founder at Kool Kanya,Intern for the Strategy sector at McKinsey & Company,Brown University,"B.A. Political Science, International and Comparative Track",Brown University,19.07599,72.877393,Maharashtra,,Mumbai,,Kool Kanya,McKinsey & Company,,541611 Strategic planning consulting services
1159,"New York, New York, United States",President & CEO at Hunter Douglas North America,President & CEO at The Robert Allen Group,Harvard Business School,Business Management,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Hunter Douglas North America,The Robert Allen Group,,451130 Upholstery materials stores
1160,"New York, New York, United States","Vice President, Machine Learning Center of Excellence at JPMorgan Chase & Co.",Quantitative Associate at JPMorgan Chase & Co.,Brown University,Theoretical Physics,Brown University,40.712728,-74.006015,New York,,New York,36061.0,JPMorgan Chase & Co.,JPMorgan Chase & Co.,522291 Student loan companies,522291 Student loan companies
1161,New York City  ,Managing Director and Chief Innovation Officer at Burford Capital,Chief Process & Innovation Officer at Burford Capital,Harvard Law School,Law and Public Policy,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Burford Capital,Burford Capital,522298 Short-term inventory credit lending,522298 Short-term inventory credit lending
1162,"San Francisco, California, United States","VP, ESG Strategy and Engagement at Salesforce","Senior Director, Global Impact at Salesforce",Brown University,Sustainable Management,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Salesforce,Salesforce,"541511 Web (i.e., Internet) page design services, custom","541511 Web (i.e., Internet) page design services, custom"
1163,"Madrid, Community of Madrid, Spain",Vice President Operations at Itaú,Bank Branch Manager at BBVA,Brown University,Economics,Brown University,40.416705,-3.703582,Comunidad de Madrid,Área metropolitana de Madrid y Corredor del,Madrid,,Itaú,BBVA,522110 State commercial banks,551112 Public utility holding companies
1164,"Edmonds, Washington, United States","Director, Data Analytics at WW (formerly Weight Watchers)",Data Scientist at Facebook,University of Pennsylvania,Experimental Psychology,Brown University,47.810574,-122.377495,Washington,Snohomish,,53061.0,WW (formerly Weight Watchers),Facebook,,"541512 Systems integration design services, computer"
1165,Dallas-Fort Worth ,Chief Revenue Officer (CRO) at JS Group,Vice President of Sales at Cytracom,Brown University,,Brown University,32.745316,-97.327831,Texas,Tarrant,Fort Worth,48439.0,JS Group,Cytracom,722513 Take out eating places,"334210 Wide area network communications equipment (e.g., bridges, gateways, routers) manufacturing"
1166,"Fort Collins, Colorado, United States",President at Pathways Hospice,Senior Director of Patient & Family Support Services at Care Dimensions,1998–2000,Social Work,Brown University,40.550853,-105.066808,Colorado,Larimer,Fort Collins,8069.0,Pathways Hospice,Care Dimensions,621610 Visiting nurse associations,623110 Skilled nursing facilities
1167, Boston,"RVP, Growth & Mid-Market Customer Success at Segment","Senior Director, Customer Success at Segment",Brown University,"Commerce, Organizations, and Entrepreneurship",Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Segment,Segment,999990,999990
1168,"Hong Kong, Hong Kong SAR",General Manager - Asia Pacific  at Supergoop!,"General Manager, Asia Pacific at Charlotte Tilbury Beauty",INSEAD,"Business Administration and Management, General",Brown University,22.279328,114.162813,香港 Hong Kong,,香港島 Hong Kong Island,,Supergoop!,Charlotte Tilbury Beauty,"325620 Towelettes, premoistened, manufacturing",
1169,"New York, New York, United States",Director Of Data Science at CenterBook Partners LP,Quantitative Risk Analyst at Third Point LLC,Brown University,Computer Science,Brown University,40.712728,-74.006015,New York,,New York,36061.0,CenterBook Partners LP,Third Point LLC,,
1170,"Santa Monica, California, United States","Senior Vice President, Strategy & Growth at Golden West Food Group","Senior Advisor & Vice President, Strategy at Golden West Food Group",University of Pennsylvania - The Wharton School,Strategic Management,Brown University,34.01947,-118.491227,California,Los Angeles,Santa Monica,6037.0,Golden West Food Group,Golden West Food Group,"311615 Turkeys, slaughtering and dressing","311615 Turkeys, slaughtering and dressing"
1171,Denver  ,"Partner at Varana Capital, LLC",Board Member at Fortress Paper Ltd.,1995–1999,Economics,Brown University,39.739236,-104.984862,Colorado,,Denver,8031.0,"Varana Capital, LLC",Fortress Paper Ltd.,,
1172,"New York, New York, United States",Sr. Director at Capsule,Senior Director of Operations at S'well,Brown University,"International Relations, Economics",Brown University,40.712728,-74.006015,New York,,New York,36061.0,Capsule,S'well,424490 Yeast merchant wholesalers,
1173,New York City  ,"AVP, Experience Design Strategy at MetLife","Director, Experience Strategy at MetLife",Brown University,International Relations,Brown University,40.712728,-74.006015,New York,,New York,36061.0,MetLife,MetLife,524126 Workers' compensation insurance underwriting,524126 Workers' compensation insurance underwriting
1174, Chicago ,Managing Director at Equity International,Associate at HSBC Securities,The University of Chicago - Booth School of Business,"Mathematical Economics, Hispanic Studies",Brown University,41.875562,-87.624421,Illinois,Cook,Chicago,17031.0,Equity International,HSBC Securities,"423690 Video tapes, blank, merchant wholesalers",522110 State commercial banks
1175,"Vero Beach, Florida, United States",President at CAE Healthcare,"SVP, Head of Strategy & Technology at L3 Technologies",Brown University,,Brown University,27.638716,-80.39754,Florida,Indian River,,12061.0,CAE Healthcare,L3 Technologies,339112 Veterinarians' instruments and apparatus manufacturing,"334511 Wheel position indicators and transmitters, aircraft, manufacturing"
1176,"Brooklyn, New York, United States",CEO and Co-Founder at Thine,"Founder | Owner at SJL Attorney Search, LLC",Georgetown University Law Center,Law,Brown University,40.652601,-73.949721,New York,,,,Thine,"SJL Attorney Search, LLC",519190 Title search services (except real estate),
1177,"Roseland, New Jersey, United States",Director Of Product Development at ADP,"Principal Application Architect, Data Analytics at ADP",New York University - Leonard N. Stern School of Business,Product Management; Entrepreneurship & Innovation,Brown University,40.820656,-74.29376,New Jersey,Essex,,34013.0,ADP,ADP,541214 Talent payment services,541214 Talent payment services
1178,San Francisco Bay ,Director of Sales at LinkedIn,Director of Sales Operations at LinkedIn,Brown University,"English, Economics",Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,LinkedIn,LinkedIn,561499 Videoconferencing services,561499 Videoconferencing services
1179,"Mt. Laurel, New Jersey, United States",IT Director at ARI,Audit Director at Citigroup,University of Pennsylvania,Finance,Brown University,39.934002,-74.890999,New Jersey,Burlington,,34005.0,ARI,Citigroup,999990,522110 State commercial banks
1180,"Denver, Colorado, United States","VP of Strategy & Operations at DHI Group, Inc.","Senior Director of Strategy & Operations at DHI Group, Inc.","University of California, Berkeley, Haas School of Business","Economics, Urban Studies",Brown University,39.739236,-104.984862,Colorado,,Denver,8031.0,"DHI Group, Inc.","DHI Group, Inc.",519190 Title search services (except real estate),519190 Title search services (except real estate)
1181,"Louisville, Kentucky, United States","Co-founder, chief communications officer at Cornbread Hemp Co",Bingham Fellow at Leadership Louisville Center,Columbia University - Graduate School of Journalism,book writing and multi-media reporting,Brown University,38.254238,-85.759407,Kentucky,Jefferson,Louisville,21111.0,Cornbread Hemp Co,Leadership Louisville Center,,
1182,"Trabuco Canyon, California, United States",President at Palomar Specialty Holdings,Managing Director at Guy Carpenter,1992–1996,Engineering and Business (OBM),Brown University,33.662623,-117.58938,California,Orange,,6059.0,Palomar Specialty Holdings,Guy Carpenter,,"541910 Sampling services, statistical"
1183,"Los Angeles, California, United States","VP, Business Development at Ritual","Director, Business Development at Ritual",Harvard Business School,Agribusiness,Brown University,34.053691,-118.242766,California,Los Angeles,Los Angeles,6037.0,Ritual,Ritual,999990,999990
1184,"Århus, Middle Jutland, Denmark",Senior Staff Engineer at the LEGO Group,Senior Developer at The LEGO Group,UNICAMP - Universidade Estadual de Campinas,Computer Vision,Brown University,,,,,,,the LEGO Group,The LEGO Group,,
1185,"Monmouth Junction, New Jersey, United States",Vice President at Suven Life Sciences Ltd.,Director at Synthon Chiragenics,Brown University,Chemistry,Brown University,40.384022,-74.533084,New Jersey,Middlesex,,34023.0,Suven Life Sciences Ltd.,Synthon Chiragenics,,
1186,"Teaneck, New Jersey, United States",Co-Founder at Bittsi,"Director, VP Sales and Marketing at Evolva SA",Brown University,"Business Administration and Management, Marketing, Strategy & Management",Brown University,40.886016,-74.007257,New Jersey,Bergen,,34003.0,Bittsi,Evolva SA,,541714
1187,"Boston, Massachusetts, United States",CFO at Jack Morton Worldwide,CFO at Weber Shandwick,1980–1984,Economics,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Jack Morton Worldwide,Weber Shandwick,541611 Strategic planning consulting services,511120 Trade magazine and periodical publishers and printing combined
1188,"Ithaca, New York, United States",Associate Professor of Organizational Behavior at Cornell University,Assistant Professor of Organizational Behavior at Cornell University,Columbia University in the City of New York,Social Psychology,Brown University,42.439604,-76.496802,New York,Tompkins,City of Ithaca,36109.0,Cornell University,Cornell University,622110 Osteopathic hospitals,622110 Osteopathic hospitals
1189,"Portland, Maine  ",President at FocusMaine,Chief Impact Officer at Feeding America,Brown University,Demography and Population Studies | Sociology,Brown University,43.661028,-70.25486,Maine,Cumberland,Portland,23005.0,FocusMaine,Feeding America,,"624190 Welfare service centers, multi-program"
1190,"Palm Harbor, Florida, United States","VP, PMO & Transformation at rue21","SVP, Project Management Office (PMO) & Change Management at HSN",Brown University,English / Communications,Brown University,28.085682,-82.756907,Florida,Pinellas,,12103.0,rue21,HSN,448120 Maternity shops,442110 Office furniture stores
1191,"Providence, Rhode Island, United States",Member at HYPCCCYCL,Co-Founder // Marketing Director at Curate,Quantic School of Business and Technology,Anthropology,Brown University,41.823989,-71.412834,Rhode Island,Providence,Providence,44007.0,HYPCCCYCL,Curate,,"711510 Writers, independent (freelance)"
1192,"Atlanta, Georgia, United States","Airport Manager, Marketing & Brand Services at Hartsfield-Jackson Atlanta International Airport",Marketing & Media Consultant at Entercom,Brown University,African-American Studies/Communications & Media,Brown University,33.748992,-84.390264,Georgia,Fulton,Atlanta,13121.0,Hartsfield-Jackson Atlanta International Airport,Entercom,,541850 Transit advertising services
1193,New York City  ,Director Of Innovation at Utopus Insights,IBM Distinguished Research Staff Member Emeritus at IBM,Brown University,Physics,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Utopus Insights,IBM,"541511 Web (i.e., Internet) page design services, custom",518210 Web hosting
1194,"New York, New York, United States",Senior Director of Data Science at Stash,Director Of Analytics at Stash,Brown University,Applied Mathematics,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Stash,Stash,522320 U.S. Central Credit Union,522320 U.S. Central Credit Union
1195,"San Francisco, California, United States",Product Manager at OpenAI,Technical Program Manager at OpenAI,Carnegie Mellon University's College of Engineering,Product Development,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,OpenAI,OpenAI,541720 Sociology research and development services,541720 Sociology research and development services
1196,"Boston, Massachusetts, United States",Director of Development at Lincoln Property Company Boston,"Associate, Development at CIM Group, L.P.",Brown University,"Commerce, Organizations, and Entrepreneurship",Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Lincoln Property Company Boston,"CIM Group, L.P.",,237210 Subdividing real estate
1197,"New York, New York, United States",Head of Commercial Product and Program Management at S&P Global Market Intelligence,"Director, Commercial Strategy at S&P Global Market Intelligence",Brown University,Economics,Brown University,40.712728,-74.006015,New York,,New York,36061.0,S&P Global Market Intelligence,S&P Global Market Intelligence,541611 Strategic planning consulting services,541611 Strategic planning consulting services
1198,"New York, New York, United States",Founder and Co-Managing Partner at Franchise Equity Partners,Partner at Goldman Sachs,Harvard Business School,"Business Administration and Management, General",Brown University,40.712728,-74.006015,New York,,New York,36061.0,Franchise Equity Partners,Goldman Sachs,,561499 Videoconferencing services
1199,"Washington,  of Columbia, United States","President & Chief Executive Officer at Rising Sun Advisors, LLC","Managing Director, Information Risk at BNY Mellon",Brown University,Information Technology: Concentration in Information Security,Brown University,38.895037,-77.036543,District of Columbia,,Washington,,"Rising Sun Advisors, LLC",BNY Mellon,,523920 Portfolio fund managing
1200,New York City  ,Founder/CEO and Chief Investment Officer at Force Hill Capital Management LP,Technology Investor at Owenoke Capital Management,Brown University,Economics with Honors Distinction,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Force Hill Capital Management LP,Owenoke Capital Management,,
1201,"Portland, Oregon  ","Senior Director, Network and Product Implementation at Alignment Healthcare",Director: Product Management at Regence BlueCross BlueShield of Oregon,"Wharton School, University of Pennsylvania",Health Care Management,Brown University,45.520247,-122.674195,Oregon,Multnomah,Portland,41051.0,Alignment Healthcare,Regence BlueCross BlueShield of Oregon,"511210 Utility software, computer, packaged",524114 Medical service plans without providing health care services
1202, Boston,"Director, Global Planning and Analysis at The Northwest Group, LLC",Head of Demand and Supply Planning/Head of Domestic Manufacturing at '47,Brown University,History,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,"The Northwest Group, LLC",'47,441110 New car dealers,999990
1203,"San Francisco, California, United States","Senior Director - Sensors, Metrology & Software (SMS) Division at Applied Materials","Director, Data Science and Analytics at Applied Materials",Brown University,Computer Science,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Applied Materials,Applied Materials,334413 Wafers (semiconductor devices) manufacturing,334413 Wafers (semiconductor devices) manufacturing
1204,"Frankfurt, Hesse, Germany",Executive Director at Rantum Capital,Managing Director at Family Office,Brown University,Public Policy,Brown University,50.110644,8.682092,Hessen,,Frankfurt am Main,,Rantum Capital,Family Office,,541110 Tax law attorneys' private practices
1205,"New York, New York, United States",Strategic Advisor at We Are Fluide,Partner at Meekara,Brown University,Gender Studies,Brown University,40.712728,-74.006015,New York,,New York,36061.0,We Are Fluide,Meekara,,
1206,"Boston, Massachusetts, United States",Partner at Ares Management Corporation,Partner at Landmark Partners,Brown University,"Double Major in International Relations and Business, Entrepreneurship and Organizations",Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Ares Management Corporation,Landmark Partners,"525910 Mutual funds, open-ended",531390 Real estate listing services
1207,New York City  ,Vice President at Permira,Vice President at Pine Brook Partners,Harvard Business School,Economics,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Permira,Pine Brook Partners,551112 Public utility holding companies,"525910 Mutual funds, open-ended"
1208,"Washington,  of Columbia, United States",Head of Business and Market Development at measurable.energy,"Lecturer, Adjunct Faculty Member at Transportation Institute at the University of Denver",Northwestern University - Kellogg School of Management,Marketing / Management Accounting,Brown University,38.895037,-77.036543,District of Columbia,,Washington,,measurable.energy,the University of Denver,,611310 Universities
1209,"Newburyport, Massachusetts, United States",Senior Partner at Alumni Ventures Group,Director at RBC Capital Markets,Brown University,Business economics,Brown University,42.812591,-70.877275,Massachusetts,Essex,Newburyport,25009.0,Alumni Ventures Group,RBC Capital Markets,"523930 Investment advisory services, customized, fees paid by client",523920 Portfolio fund managing
1210, Boston,Partner at Bain Capital Ventures,Principal at Bain Capital Ventures,Brown University,Science and Society,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Bain Capital Ventures,Bain Capital Ventures,,
1211, Boston,"Senior Director of Diversity, Equity, and Inclusion at Sarepta Therapeutics","Director, New Ways of Working at Bain & Company",Brown University,Development Studies,Brown University,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025.0,Sarepta Therapeutics,Bain & Company,325412 Zinc oxide medicinal preparations manufacturing,541611 Strategic planning consulting services
1212,"Andover, Massachusetts, United States",Development Managing Partner at DLJ REAL ESTATE CAPITAL PARTNERS,"Managing Principal at Ebens Creek Capital, LLC",Brown University,Politcal Science,Brown University,42.647144,-71.132291,Massachusetts,Essex,,25009.0,DLJ REAL ESTATE CAPITAL PARTNERS,"Ebens Creek Capital, LLC",523920 Portfolio fund managing,
1213,"London, England, United Kingdom",Product Marketing Director at CALYX,Marketing Communications Manager at IXICO,Brown University,History,Brown University,51.507322,-0.127647,England,,London,,CALYX,IXICO,551112 Public utility holding companies,
1214, Chicago ,"Director, Corporate Strategy at AbbVie","Director, Corporate Strategy at AbbVie",Stanford University,Neuroscience,Brown University,41.875562,-87.624421,Illinois,Cook,Chicago,17031.0,AbbVie,AbbVie,325414 Virus vaccines manufacturing,325414 Virus vaccines manufacturing
1215,New York City  ,Managing Director- Marketing and Investor Relations at Gotham Green Partners,"Global Head of Business Development, Investor Relations and Strategic Partners  at Virgo Investment Group",Brown University,International Relations and Economics,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Gotham Green Partners,Virgo Investment Group,,523910 Viatical settlement companies
1216,"Reston, Virginia, United States","Director, Enterprise Sales at Sinch","Director, Enterprise Sales at Syniverse",1983–1987,Marketing,Brown University,38.955696,-77.341883,Virginia,Fairfax,,51059.0,Sinch,Syniverse,525990 Unit investment trust funds,"334220 Video camera (except household-type, television broadcast) manufacturing"
1217,"Beverly Hills, California, United States",Board Certified Plastic Surgeon at Los Angeles Plastic Surgery,,1992–1996,Medicine,Brown University,34.06965,-118.396306,California,Los Angeles,,6037.0,Los Angeles Plastic Surgery,,,
1218,"Washington,  of Columbia, United States",Partner at Vinson & Elkins,"Assistant Chief / Lead Trial Attorney, Criminal Fraud & FCPA Unit at U.S. Department of Justice",The University of Texas School of Law,Law,Brown University,38.895037,-77.036543,District of Columbia,,Washington,,Vinson & Elkins,U.S. Department of Justice,541110 Tax law attorneys' private practices,
1219,"New York, New York, United States","Group Creative Director, Branded Content at VICE Media",Group Creative Director at Havas Sports & Entertainment,Rhode Island School of Design,Digital + Media,Brown University,40.712728,-74.006015,New York,,New York,36061.0,VICE Media,Havas Sports & Entertainment,711410 Theatrical talent agents,541613 Sales management consulting services
1220,New York City  ,Lead Data Scientist at Peloton Interactive,Data Scientist at Peloton Interactive,Brown University,Data Science,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Peloton Interactive,Peloton Interactive,713940 Weight training centers,713940 Weight training centers
1221,"San Francisco, California, United States",Chief Technology Officer at VMware,"VP & CTO, Cloud Platform BU at VMware",1999–2003,Computer Science,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,VMware,VMware,,"511210 Utility software, computer, packaged"
1222,South Korea,COO at Pizza Hut Korea,CEO at GENESIS BBQ GLOBAL,서울대학교 (Seoul National University),Russian Language & Literature,Brown University,36.638392,127.696119,,,,,Pizza Hut Korea,GENESIS BBQ GLOBAL,722513 Take out eating places,561110 Office management services
1223,"San Antonio, Texas  ",Chief Executive Officer at GENLED Brands,"Chief Executive Officer at Aridien, Inc.",Carnegie Mellon University,Electrical and Computer Engineering,Brown University,29.4246,-98.49514,Texas,Bexar,San Antonio,48029.0,GENLED Brands,"Aridien, Inc.",,322130 Wet machine board mills
1224,"Hyderabad, Telangana, India",Co-Founder & CEO at DoctorC,Co-Founder at Shoutt,Brown University,Computer Science,Brown University,17.360589,78.474061,Telangana,Bahadurpura,Hyderabad,,DoctorC,Shoutt,,
1225,"Milton, Massachusetts, United States",President at Beechwoods Software Inc,Contract at Ucentric Systems,1977–1982,,Brown University,42.240678,-71.091747,Massachusetts,Norfolk,Milton,25021.0,Beechwoods Software Inc,Ucentric Systems,,"334118 Terminals, computer, manufacturing"
1226,"Miami, Florida, United States",President & CEO at Mango Publishing,"COO at Mobifusion, Inc.",UCLA Anderson School of Management,,Brown University,25.774173,-80.19362,Florida,Miami-Dade,Miami,12086.0,Mango Publishing,"Mobifusion, Inc.",,
1227,"Austin, Texas, United States","CEO, Co-Founder at Ginger Health Company",Advisor at Applause,Brown University,"International Relations, History",Brown University,30.271129,-97.7437,Texas,Travis,Austin,48453.0,Ginger Health Company,Applause,,"541511 Web (i.e., Internet) page design services, custom"
1228,"Boulder, Colorado, United States",Co-founder & CEO at Odyssey Energy Solutions,Board Member at Alliance for Rural Electrification,Stanford Graduate School of Business,Energy policy,Brown University,40.014986,-105.270545,Colorado,Boulder,Boulder,8013.0,Odyssey Energy Solutions,Alliance for Rural Electrification,,
1229,"Chicago, Illinois, United States",Marketing Manager at Hyzon Motors,Marketing Manager at Roti Modern Mediterranean,Northwestern University - Kellogg School of Management,"Sociology, Education",Brown University,41.875562,-87.624421,Illinois,Cook,Chicago,17031.0,Hyzon Motors,Roti Modern Mediterranean,"336211 Truck tractors for highway use, assembling on purchased chassis",
1230,"San Francisco, California, United States",Head Of Operations at Cottage,City Launch Strategy & Operations Manager at Opendoor,Brown University,Economics,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Cottage,Opendoor,"424990 Yarns, industrial, merchant wholesalers","531210 Selling real estate for others (i.e., agents, brokers)"
1231,"Needham, Massachusetts, United States",CEO and Founder at Beyond BookSmart,Founder and Principal at Christa McAuliffe Regional Charter Public School,1990–1991,Middle School Education,Brown University,42.280649,-71.236484,Massachusetts,Norfolk,,25021.0,Beyond BookSmart,Christa McAuliffe Regional Charter Public School,,
1232,"New York, New York, United States",Senior Engineering Manager at SeatGeek,Thinking about the future at Self-employed,Brown University,"Computer Science, graduated Summa Cum Laude",Brown University,40.712728,-74.006015,New York,,New York,36061.0,SeatGeek,Self-employed,711410 Theatrical talent agents,813910 Wholesalers' associations
1233, Munich  ,"Senior VP, Procurement & Logistics (CPO), Wacker Chemie AG at Wacker Chemie","Senior VP, Raw Materials and Energy Procurement at Wacker Chemie AG",Ph. D degree from Max-Planck-Institut for Solid State Research,Physics,Brown University,48.137108,11.575382,Bayern,,München,,Wacker Chemie,Wacker Chemie AG,424690 Wood treating preparations merchant wholesalers,424690 Wood treating preparations merchant wholesalers
1234,"New York, New York, United States","Co-founder, President and CEO at NovaWare Inc.",CEO Tesseract Health Inc. at Tesseract Health,1976–1979,Electrical Engineering,Brown University,40.712728,-74.006015,New York,,New York,36061.0,NovaWare Inc.,Tesseract Health,,
1235,"Providence County, Rhode Island, United States",President at Asthma & Allergy Physicians of Rhode Island,,Brown University,"Biology/Biological Sciences, General",Brown University,41.867743,-71.581483,Rhode Island,Providence,,44007.0,Asthma & Allergy Physicians of Rhode Island,,,
1236,"Austin, Texas, United States",Head Of Operations at Garner Health,Head of Member Services at Garner Health,Brown University,,Brown University,30.271129,-97.7437,Texas,Travis,Austin,48453.0,Garner Health,Garner Health,,
1237,"San Francisco, California, United States",SVP/Head of Engineering at Lattice,VP/Head of Engineering at Lattice,Brown University,Computer Science,Brown University,37.779026,-122.419906,California,,San Francisco,6075.0,Lattice,Lattice,334413 Wafers (semiconductor devices) manufacturing,334413 Wafers (semiconductor devices) manufacturing
1238,"New York, New York, United States",Director Of Engineering at Teachable,Senior Engineering Manager at Teachable,2008–2010,Computer Science,Brown University,40.712728,-74.006015,New York,,New York,36061.0,Teachable,Teachable,"611699 Yoga instruction, camps, or schools","611699 Yoga instruction, camps, or schools"
1239,San Francisco Bay ,Managing Director at Cowgirl Creamery,Deputy Managing Director at Cowgirl Creamery,"University of California, Berkeley, Haas School of Business",Modern Culture and Media - Italian Studies,Brown University,37.714029,-122.307794,California,San Mateo,,6081.0,Cowgirl Creamery,Cowgirl Creamery,"311513 Whey, raw, liquid, manufacturing","311513 Whey, raw, liquid, manufacturing"
1240,"Providence, Rhode Island, United States","CTO at Datto, Inc.",CTO at GreenBytes,Brown University,Computer Science,Brown University,41.823989,-71.412834,Rhode Island,Providence,Providence,44007.0,"Datto, Inc.",GreenBytes,"541511 Web (i.e., Internet) page design services, custom",
1241,"New York, New York, United States","Senior Manager, Operational Excellence & Ecommerce Distribution at Harry's, Inc.",Senior Operations Manager at Blue Raven Solar,Brown University,History,Brown University,40.712728,-74.006015,New York,,New York,36061.0,"Harry's, Inc.",Blue Raven Solar,446110 Pharmacies,238220 Water system balancing and testing contractors
1242,Dallas-Fort Worth ,"Head of Operations, Information Privacy and Protection, Bank at USAA","Head of Cyber Risk Management, Enterprise at USAA",Brown University,Executive Leadership Program,Brown University,32.745316,-97.327831,Texas,Tarrant,Fort Worth,48439.0,USAA,USAA,561510 Travel agencies,
