,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,fips
1462,"San Ramon, California, United States","Product Management at X, the moonshot factory","Vice President, Product Management at Standard Industries",University of Southern California - Marshall School of Business,Management Development Program,"University of California, Riverside","(37.7648021, -121.9544387)",California,Contra Costa,San Ramon,6013
1463,"Santa Ana, California, United States",CTO at Kodella,"Global Director, Product Owners at Kodella",UC Riverside,Computer Engineering,"University of California, Riverside","(33.7494951, -117.8732213)",California,Orange,Santa Ana,6059
1464,"Long Beach, California, United States",Chief Marketing Officer at DIV13,Director of Process Engineering at G/M Business Interiors,University of San Diego School of Business Administration,Mechanical Engineering,"University of California, Riverside","(33.7690164, -118.191604)",California,Los Angeles,Long Beach,6037
1465,"Houston, Texas, United States","Senior IT Architect - Supply Chain at Par Pacific Holdings, Inc.",Supply Chain Business Analyst at Murphy Oil,1995–1997,Business and Information System,"University of California, Riverside","(29.7589382, -95.3676974)",Texas,Harris,Houston,48201
1466, Paris  ,Chief Operating Officer at JB Prod,Chef de projet événementiel luxe at JB Prod,Sup de Pub - Groupe INSEEC,Marketing événementiel et communication culturelle,"University of California, Riverside","(48.8588897, 2.3200410217200766)",Île-de-France,Paris,,
1467, Chicago ,Marketing Director at Kidas,"Director,  Product Marketing & Commercialization at Power Kiosk",Northwestern University,Integrated Marketing Communications,"University of California, Riverside","(41.8755616, -87.6244212)",Illinois,Cook,Chicago,17031
1468,,Operations Manager at NFI,Operations Manager at Radial Inc.,"University of California, Riverside","Business Administration, Management and Operations","University of California, Riverside",,,,,
1469,,"Associate Marketing Manager at Shutterfly, Inc.","Mobile Marketing Specialist - Push at Shutterfly, Inc.","University of California, Riverside",Business Administration,"University of California, Riverside",,,,,
1470,"Newport Beach, California, United States",Executive Vice President at Accely,Account Executive at IDHASOFT,"University of California, Riverside",Business Administration,"University of California, Riverside","(33.6170092, -117.9294401)",California,Orange,Newport Beach,6059
1471,"Las Vegas, Nevada, United States",Renhead Co-Founder and CEO at Renhead,"VP, Head of Recruiting, Private Banking Group at Morgan Stanley","University of California, Riverside",English Literature,"University of California, Riverside","(36.1672559, -115.148516)",Nevada,Clark,Las Vegas,32003
1472,"Los Angeles, California, United States",Scientific Writer at SIMPSON Healthcare,"Senior Scientist at Capricor Therapeutics, Inc.",Sanford Burnham Prebys Medical Discovery Institute,Molecular Medicine,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1473,"Portland, Oregon, United States",CEO and President  at Northwest Permanente,"VP of quality, care experience, and patient safety at Northwest Permanente P.C.",Harvard Business School,Medicine,"University of California, Riverside","(45.5202471, -122.6741949)",Oregon,Multnomah,Portland,41051
1474,"Agoura Hills, California, United States",COO at stealth Web3 Startup,Adjunct Professor - Management & Organization at University of Southern California - Marshall School of Business,University of Southern California - Marshall School of Business,Strategy/Finance/Entrepreneurship,"University of California, Riverside","(34.14791, -118.7657042)",California,Los Angeles,,6037
1475,"Fort Lauderdale, Florida, United States",Executive Vice President & CFO - Florida/Caribbean at Right Management,Senior Vice President - Controller in Florida/Caribbean at Right Management,Florida Atlantic University,Business Economics,"University of California, Riverside","(26.1223084, -80.1433786)",Florida,Broward,Fort Lauderdale,12011
1476,"Costa Mesa, California, United States",Ecommerce Project Coordinator at LSPACE by Monica Wise,Ecommerce Coordinator at Apria Healthcare,"University of California, Riverside",Public Policy,"University of California, Riverside","(33.6636611, -117.91946518435181)",California,Orange,Costa Mesa,6059
1477,"River Forest, Illinois, United States",President at Dominican University,President at Viterbo University,University of Minnesota-Twin Cities,Educational Policy and Administration (Higher Education),"University of California, Riverside","(41.8978091, -87.8139483)",Illinois,Cook,,17031
1478,"Los Angeles, California, United States","Co-Founder, CEO at Stealth Startup",Branding & Marketing - Amazon Pets at Amazon,ESSEC Business School,Finance / Marketing,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1479,Denver  ,Vice President Of Development at STRIDE Community Health Center,Director of Communications at STRIDE Community Health Center,Rutgers University,Counseling Psychology,"University of California, Riverside","(39.7392364, -104.9848623)",Colorado,,Denver,8031
1480,"Culver City, California, United States",Senior Human Resources Manager at inMarket,Director of People Operations at AUDIENCEX,"University of California, Riverside",Accounting,"University of California, Riverside","(34.0211224, -118.396466)",California,Los Angeles,,6037
1481,"Irvine, California, United States",Software Test Manager at Cue Health,Manager Software Engineering at Edwards Lifesciences,"University of California, Riverside",Computer Science,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
1482,San Francisco Bay ,Sr. Staff Research Scientist at Rivian,Research Scientist at Stealth Startup,"University of California, San Diego",Mathematics,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1483,"San Diego, California, United States",VP Marketing at WAXIE Sanitary Supply,General Manager at WAXIE Sanitary Supply,Cal State University San Bernardino,,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
1484,Los Angeles  ,Adjunct Faculty at Alliant International University,Sr. Commerce Analyst at BVA,DePaul University,Sociology,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1485,"Riverside, California, United States",CEO and Owner at Acorn Technology Services,Vice President of Sales and IT Services at Acorn Technology,"University of California, Riverside - A. Gary Anderson Graduate School of Management",Entrepreneurship/Entrepreneurial Studies,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
1486,"Atlanta, Georgia, United States",Direct Strategy & Analytics at Chick-fil-A Corporate,Sr. GIS Manager at Chick-fil-A Corporate,UCLA,East Asian Studies,"University of California, Riverside","(33.7489924, -84.3902644)",Georgia,Fulton,Atlanta,13121
1487,Washington DC-Baltimore ,"CEO & Co-Founder at Create&, Launching Big Ideas",National Manager at American Association of State Colleges and Universities -- The Democracy Commitment,American University - Kogod School of Business,"Business Administration, Management and Operations","University of California, Riverside","(38.9181155, -76.9421074)",District of Columbia,Prince George's,Washington,
1488,"Huntington Beach, California, United States",Vice President Digital Marketing and Business Development Solutions at International Code Council,"Vice President, Marketing at International Code Council",1993–1995,Marketing and Accounting,"University of California, Riverside","(33.6783336, -118.0000166)",California,Orange,Huntington Beach,6059
1489,"San Diego, California, United States",Vice President of Strategic Development at Shanghai Freemen,Director of Business Development - Western Region at Shanghai Freemen,"University of California, Riverside",Business Finance,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
1490,"Pasadena, California, United States","Principal/Partner at Garrett & Tully, P.C.",Associate at Lewis Brisbois Bisgaard & Smith LLP,Pepperdine University School of Law,Political Science / Law and Society,"University of California, Riverside","(34.1476452, -118.1444779)",California,Los Angeles,Pasadena,6037
1491, Birmingham ,Plant Manager at NA Operation / Manufacturing / AL Division,Plant Manufacturing Superintendent at Operations Management,"University of California, Riverside","Studied Business Management, General","University of California, Riverside","(52.4796992, -1.9026911)",England,West Midlands Combined,Birmingham,
1492,"Tokyo, Tokyo, Japan",Finance Manager at Vpon,Assistant Accounting Manager at CEVA Logistics,1999–2003,,"University of California, Riverside","(35.6810912, 139.7671861)",,,千代田区,
1493,"San Diego, California, United States",Director of Product Management at Cordial Inc.,"Principal Product Manager, Platform, Tools & Engineering at Intuit","University of California, Riverside",Business Administration,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
1494,Las Vegas  ,"Vice President, Business Development at American Estate & Trust",Director Of Business Development at American Estate & Trust,"University of California, Riverside","Business, Management, Marketing, and Related Support Services","University of California, Riverside","(36.1672559, -115.148516)",Nevada,Clark,Las Vegas,32003
1495,"South Jordan, Utah, United States",Vice President Of Product Management at Momentive-AI (formerly SurveyMonkey),Group Manager Product Management  at Adobe,2009–2011,Social Psychology and Evaluation,"University of California, Riverside","(40.5584882, -111.9367107)",Utah,Salt Lake,South Jordan,49035
1496,,"Associate Director, Connected Commerce at PHD","Associate Director, Paid Media at Edelman DXI","University of California, Riverside","B.S., Business Administration with concentration in Marketing","University of California, Riverside",,,,,
1497,"San Jose, California, United States","Senior Manager, Process & Yield - Battery Manufacturing at QuantumScape","Manager, Global Product Marketing - Dielectric Deposition Products at Applied Materials",Cornell University,Engineering Leadership & Management,"University of California, Riverside","(37.3361905, -121.890583)",California,Santa Clara,San Jose,6085
1498,"Danville, California, United States","Senior Manager, Product Security at Snowflake","Senior Director, Product Security at Splunk",2002–2005,Information Systems,"University of California, Riverside","(37.8215929, -121.99996)",California,Contra Costa,,6013
1499,"Orange County, California, United States","Director, Managed Markets and Trade at Amicus Therapeutics","Director, National Accounts - Market Access at Coherus BioSciences","University of California, Riverside",,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
1500,"Irvine, California, United States",Digital Marketing Strategist at Postclick,"Digital Marketing Consultant at Freelance, self-employed","University of California, Riverside",English,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
1501,"Tulsa, Oklahoma, United States","Head of Banking Industry, Americas at ServiceNow","Global Markets, Commercial Banking AE Specialist Salesforce at Salesforce",San Jose State University,Business Administration,"University of California, Riverside","(36.1556805, -95.9929113)",Oklahoma,Tulsa,Tulsa,40143
1502,"San Carlos, California, United States","Director, Strategic Alliances  at Quantum",Director of Strategic Alliances  at Snowflake,1987–1991,Business Adminstration,"University of California, Riverside","(37.504936, -122.261823)",California,San Mateo,San Carlos,6081
1503,,Human Resources Coordinator at Munchkin,People Operations Coordinator at Scopely,"University of California, Riverside",Sociology,"University of California, Riverside",,,,,
1504,"Oxnard, California, United States","Director, Learning Support Services/Chief Technology Officer at OXNARD UNION HIGH SCHOOL DISTRICT","Dean at Pleasant Valley School District, Camarillo",2000–2001,Education,"University of California, Riverside","(34.1976308, -119.1803818)",California,Ventura,Oxnard,6111
1505,,Graduate Counselor of Professional Programs at UC Irvine Donald Bren School of Information and Computer Sciences,Executive Chair at GBSSA,Gies College of Business - University of Illinois Urbana-Champaign,Global Business Challenges,"University of California, Riverside",,,,,
1506,"Madrid, Community of Madrid, Spain",Digital Marketing Specialist at AB Tasty,Media Coordinator at Quigley-Simpson,"University of California, Riverside","Marketing, Public Relations, and Applied Communication","University of California, Riverside","(40.4167047, -3.7035825)",Comunidad de Madrid,Área metropolitana de Madrid y Corredor del,Madrid,
1507,,Senior Product Manager at ViacomCBS,Product Manager at ViacomCBS,"University of California, Irvine - The Paul Merage School of Business",Marketing,"University of California, Riverside",,,,,
1508,"Mountain View, California, United States",Senior Vice President at Samsung Electronics America,Vice President at Samsung Electronics,UC Riverside,"Business Administration and Management, General","University of California, Riverside","(37.3893889, -122.0832101)",California,Santa Clara,Mountain View,6085
1509,"San Diego, California, United States","SVP Strategy & Marketing, Informa Markets Fashion at Informa Markets",Senior Vice President Marketing at Freeman Company,"University of California, Riverside",Psychology/Biology,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
1510,"Tokyo, Tokyo, Japan",Digital Transformation Manager at SAP,Senior Global Account Manager at SAP,2001–2001,Economics,"University of California, Riverside","(35.6810912, 139.7671861)",,,千代田区,
1511,"Orange County, California, United States","Executive Director, Operations and Capital Projects, Office of the Vice Chancellor, Health Affairs at UC Irvine","Director of Operations and Accreditation, School of Nursing at UC Irvine",Capella University,Health/Health Care Administration/Management,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
1512,"Salisbury, Maryland, United States",General Manager at Delmarva Shorebirds,Vice President/General Manager at Bakersfield Blaze Professional Baseball,1994–1998,,"University of California, Riverside","(38.366027, -75.6009964)",Maryland,Wicomico,Salisbury,24045
1513,"Downey, California, United States",Senior Director of Operations at Biola University,"Manager of Financial Affairs, Strategy and Communications at Biola University",Biola University Crowell School of Business,Spiritual Formation and Soul Care,"University of California, Riverside","(33.942215, -118.1235646)",California,Los Angeles,Downey,6037
1514,"Los Angeles, California, United States","Director Of Business Development at Wood, Smith, Henning & Berman LLP","Business Development | Audit | Sr. Supervising Paralegal | Office Administrator  at Wood, Smith, Henning & Berman LLP","University of California, Riverside",Associate in Risk Mangement,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1515,"Los Angeles, California, United States",Vice President - Application Senior Administrator at City National Bank,Vice President - System Administrator IV at City National Bank,"University of California, Riverside","Business Administration, Accounting & Audit","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1516,,San Francisco Bay Area,Digital Marketing Manager | eCommerce at SMART Wireless Computing,"University of California, Riverside",Business Managerial Econmics minor in Marketing,"University of California, Riverside",,,,,
1517,"Gurgaon, Haryana, India",Head Of Sales at Pixis,Business Head at XY-ADS,California State University-San Bernardino,Marketing,"University of California, Riverside","(28.42826235, 77.00270014657752)",Haryana,,Gurugram,
1518,"Orange County, California, United States",National Transportation Manager at Bedrosians Tile and Stone DBA Paragon Trucking,Transportation Manager at Ted Levine Drum Co,California State University-Dominguez Hills,Global Logistics,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
1519,"Orange County, California, United States",Product Marketing Manager - Audio & Accessories at VIZIO,Associate Product Marketing Manager - Audio at VIZIO,"University of California, Riverside",Business Administration - Marketing,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
1520,"Riverside, California, United States",Sales Director at Thermo Fisher Scientific,Health Systems Executive at Thermo Fisher Scientific,La Sierra University,General Management,"University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
1521,,Station Operations Manager at Amazon,Supplier Performance Manager at Safran,"University of California, Irvine - The Paul Merage School of Business",Strategy and Operations and Decision Technologies,"University of California, Riverside",,,,,
1522,"Los Angeles, California, United States","Director of Business Development, Integrated Partnerships at Smule, Inc.","Director of Community Marketing and Communications at Smule, Inc.","University of California, Riverside",History,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1523,San Francisco Bay ,Office Managing Partner at MGO (Macias Gini & O'Connell LLP),"Partner at Benjamin & Young, LLP","University of California, Riverside - A. Gary Anderson Graduate School of Management",Accounting and Finance,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1524,"Omaha, Nebraska, United States","Partner at Priority Technologies, LLC","Partner at Priority Solutions, LLC","University of California, Riverside",Law,"University of California, Riverside","(41.2587459, -95.9383758)",Nebraska,Douglas,Omaha,31055
1525,"Rancho Cucamonga, California, United States",Owner at Tomberlin Law,"Associate Attorney at The Myers Law Group, LLP",Washington University in St. Louis School of Law,Law,"University of California, Riverside","(34.1279268, -117.56432205849399)",California,San Bernardino,Rancho Cucamonga,6071
1526,"Los Angeles, California, United States","Associate Strategic Marketing Manager, Epson America at Epson America Inc.",Strategic Brand Marketing Manager at Sigue Corporation,"University of California, Riverside",Political Science Administrative Studies with an emphasis in Marketing,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1527,"Oak Park, California, United States","Vice President, Risk Management & Safety at BETA Healthcare Group",Director Risk Management/Patient Safety at BETA Healthcare Group,University of Illinois College of Medicine,Safety Leadership,"University of California, Riverside","(34.1792025, -118.7619719)",California,Ventura,,6111
1528,,"Institutional Research Analyst at University of California, Riverside",Smart Port Hackathon at Métropole Aix-Marseille-Provence,"University of California, Riverside",Sociology,"University of California, Riverside",,,,,
1529,"Mountain View, California, United States","Director Program Management, Business Technology at Zenefits",Sr. Manager PMO - R&D at Zenefits,"University of California, Riverside",Information Technology,"University of California, Riverside","(37.3893889, -122.0832101)",California,Santa Clara,Mountain View,6085
1530,"Irvine, California, United States","Associate Project Manager, Information Security at Fox Corporation",Information Security Analyst at CoreLogic,"University of California, Riverside",Business Administration and Computer Science,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
1531,,"Manager, Talent and Content Partnerships - Gaming & Tech at Ayzenberg","Manager, Talent (Digital Influencers & Creators) at 3BLACKDOT","University of California, Riverside",Business Marketing,"University of California, Riverside",,,,,
1532,Los Angeles  ,City Manager at City of Santa Fe Springs,"City Manager at City of Rolling Hills, CA","University of California, Riverside",Public Service and Political Science,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1533,,"Assistant Director - Fully Employed MBA Program at University of California, Irvine - The Paul Merage School of Business","Program Assistant - Fully Employed MBA Program at University of California, Irvine - The Paul Merage School of Business","California State University, Fullerton",Higher Education,"University of California, Riverside",,,,,
1534,San Francisco Bay ,Associate Chief of Staff at Brimstone Energy,Impact & Sustainability Specialist at GlobeIn,"University of California, Riverside",Sustainability Studies,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1535,"Glendale, California, United States",SDR Manager at Edlio,"SDR Team Lead at Edlio, LLC","University of California, Riverside",Near and Middle Eastern Studies,"University of California, Riverside","(34.1469416, -118.2478471)",California,Los Angeles,Glendale,6037
1536,,Tax Senior - Real Estate at EY,Tax Staff at EY,UC Irvine,Accounting,"University of California, Riverside",,,,,
1537,"Los Angeles, California, United States",Laboratory Technician at ImmunoVec,Laboratory Scientist at Pac Genomics,"University of California, Riverside","Microbiology, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1538,,Associate Media Planner at Essence,Financial Educator at World Financial Group (WFG),COOP Apprentice,"Business Administration, Marketing","University of California, Riverside",,,,,
1539,Los Angeles  ,Director Of Communications | Digitalizing communication systems at Non Profit,Principal Managing Partner | Multi-$million real estate project management at Real Estate Developer & Investor,USC Annenberg School for Communication and Journalism,Strategic Organizational Communication,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1540,Los Angeles  ,Business Manager  |  Customer Success at Side,Director of Strategy & Operations - Tracy Tutor at Douglas Elliman Real Estate,University of Southern California Annenberg School for Communication and Journalism,"Business Administration, Marketing","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1541,San Francisco Bay ,Human Resources Generalist at Exo,Human Resources & Recruiting Coordinator at Kura Technologies,"University of California, Riverside",Business (Management/Human Resources) and Industrial and Organizational Psychology,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1542,Los Angeles  ,"Partner at Freeman Mathis & Gary, LLP",Partner at P.K. Schrieffer LLP,Southwestern University School of Law,,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1543,"Corona, California, United States",Business Process Manager at Monster Energy,Senior Product Owner at Stretto,California State University-Fullerton - College of Business and Economics,Business Administration,"University of California, Riverside","(33.8752945, -117.5664449)",California,Riverside,Corona,6065
1544,"Denver, Colorado, United States",Quality Assurance Manager at Private Label Productions,Director of Compliance and Quality at BellRock Brands,"University of California, Riverside",Environmental Toxicology / Biology,"University of California, Riverside","(39.7392364, -104.9848623)",Colorado,,Denver,8031
1545,"West Hollywood, California, United States",Enterprise Sales Specialist at Varicent,Pre-Sales at beqom,"University of California, Riverside",Gender and Sexuality Studies,"University of California, Riverside","(34.0923014, -118.3692894)",California,Los Angeles,,6037
1546,"Bothell, Washington, United States",National Account Manager at American Barbell,National Account Manager at Smart Health Clubs,Cal State Fullerton,Sports Management,"University of California, Riverside","(47.7598697, -122.2068288)",Washington,King,Bothell,53033
1547,Cayman Islands,Reinsurance at Root Inc.,Board Observer at Leap,"University of California, Riverside",Computer Science (magna cum laude),"University of California, Riverside","(19.703182249999998, -79.9174627243246)",,,,
1548,"Austin, Texas, United States",Account Executive at Tonic.ai,Account Executive at Darktrace,"University of California, Riverside",,"University of California, Riverside","(30.2711286, -97.7436995)",Texas,Travis,Austin,48453
1561,,Tax Senior - Real Estate at EY,Tax Staff at EY,"University of California, Irvine",Accounting,"University of California, Riverside",,,,,
1564,Los Angeles  ,Director Of Communications | Digitalizing communication systems at Non Profit,Principal Managing Partner | Multi-$million real estate project management at Real Estate Developer & Investor,University of Southern California Annenberg School for Communication and Journalism,Strategic Organizational Communication,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1574,Mexico,Fraud & Risk | Operations Manager at Wyre,Fraud & Risk | Specialist at Ripio,Universidad de Buenos Aires,Economics,"University of California, Riverside","(23.6585116, -102.0077097)",,,,
1575,"Fremont, California, United States","President, Education Business Unit at Foxit Software, Inc","SVP Product Strategy  at Foxit Software, Inc",Santa Clara University - Leavey School of Business,Computer Science,"University of California, Riverside","(37.5482697, -121.988571)",California,Alameda,Fremont,6001
1576,"Diamond Bar, California, United States","Director Of Operations at Total HCM, Inc.",Implementation Specialist at Combined CA,"University of California, Riverside",Accounting,"University of California, Riverside","(34.0286226, -117.8103367)",California,Los Angeles,Diamond Bar,6037
1577,Los Angeles  ,Logistics Manager  at Califia Farms,Senior Freight Analyst at Panda Restaurant Group,"University of California, Riverside",Business,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1578,"Carlsbad, California, United States",CFO / EVP at Ware Malcomb,CFO at Ware Malcomb,"University of California, Riverside",Finance,"University of California, Riverside","(33.1580933, -117.3505966)",California,San Diego,Carlsbad,6073
1579,"Dallas, Texas, United States","Director Of Engineering, Data & Computer Vision at Spacee",Principal Data Scientist / Applied Scientist at Zapier,2009–2013,Cognitive Psychology,"University of California, Riverside","(32.7762719, -96.7968559)",Texas,Dallas,Dallas,48113
1580,"Orange County, California, United States","Executive Director and General Manager, U.S. Value and Access at Amgen","Senior Director, Market Access&Reimbursement at Biogen Idec",1994–1996,Business,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
1581,"Irvine, California, United States","President and Chief M&A Advisor at Veritas Advisors, Inc.                                      *Trusted M&A Advice*","Director, M&A - Corporate Development (in-house investment banker) at DaVita",International School Manila,Finance,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
1582,"Hawthorne, California, United States","Sr. Manager, Service Desk at sweetgreen","Director of Security and Compliance at Reading International, Inc.","University of California, Riverside",Economics,"University of California, Riverside","(33.9188589, -118.3483256)",California,Los Angeles,,6037
1583,"Orange County, California, United States",Chief Marketing Officer at EPAL.GG,Chief Operating Officer at Chinese Union,Pepperdine Graziadio Business School,economic administration,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
1584,"Carlsbad, California, United States",President at A-Player Executive Search,VP of Sales  at True Cloud ERP,"University of California, Riverside",,"University of California, Riverside","(33.1580933, -117.3505966)",California,San Diego,Carlsbad,6073
1585,Los Angeles  ,Company Owner at Uplift Teaching and Learning,Assistant Principal at John W. North High School,Southern New Hampshire University,English,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1586,Dallas-Fort Worth ,"Senior Director, Marketing Operations at Canton & Company","Senior Manager, Marketing Operations at Altisource","University of California, Riverside",Business Administration,"University of California, Riverside","(32.7453157, -97.3278313)",Texas,Tarrant,Fort Worth,48439
1587,"Irvine, California, United States",Buyer at Area51 Electronics,Manager at UNIQLO,"University of California, Riverside",Ethnic Studies,"University of California, Riverside","(33.6856969, -117.8259819)",California,Orange,Irvine,6059
1588,"San Diego, California, United States",Senior Marketing Manager - Automation at HubSpot,Director of Marketing Technology at Mojenta,The Ohio State University,Art and Design,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
1589,"Las Vegas, Nevada, United States",Founder & CEO  at M.A.T. Mastering Advanced Technologies L.L.C.,Hardware Design & Integration Engineer at JuiceBot,"University of California, Riverside",Electrical Engineering,"University of California, Riverside","(36.1672559, -115.148516)",Nevada,Clark,Las Vegas,32003
1590,"Boise, Idaho, United States","Global Sr. Manager, People Experience at Micron Technology",2020 Executive Past-Chair at Micron Young Professionals,"University of California, Riverside",Business Administration,"University of California, Riverside","(43.6166163, -116.200886)",Idaho,Ada,Boise,16001
1591,San Francisco Bay ,Chief of staff / PMO Global Benefits & Employee Experience at LinkedIn,"VP of Operations and HR at Ziggurat Technologies, Inc.",+ 1 more,Biology and Chemistry,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1592,"Newport Beach, California, United States","President/CEO at Mountain View Services, Inc.",President at Ronald McDonald House Inland Empire,Cornell University,Digital Photography,"University of California, Riverside","(33.6170092, -117.9294401)",California,Orange,Newport Beach,6059
1593,San Francisco Bay ,"Senior Manager, Sourcing & Procurement - ITEM Beauty, Complex Culture & Tresluce Beauty at BFA Industries","Senior Sourcing Project Manager - Complex Culture & ITEM Beauty (IPSY, Madeby Collective) at BFA Industries",FIDM,Beauty Industry Marketing and Merchandising,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1594,Denver  ,"Director, Finance and Business Operations at Sierra Space","Associate Director, Program Cost Controls at Raytheon Technologies",Pepperdine University,Economics,"University of California, Riverside","(39.7392364, -104.9848623)",Colorado,,Denver,8031
1595,United States,Human Resources Director Global Talent Acquisition Leader at Ichor Systems Ltd,Human Resources Director at Anita Borg Institute for Women and Technology,"University of California, Riverside",Business Administration,"University of California, Riverside","(39.7837304, -100.445882)",,,,
1596,San Francisco Bay ,Assistant Controller at Handshake,Accounting Manager at Handshake,"University of California, Riverside","Accounting, Information Systems","University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1597,"Seattle, Washington, United States",Senior Director of Marketing & Enrollment Services at University of Washington,Director of Marketing Communications at University of Washington,"University of California, Riverside",Marketing Strategies and Analysis for Competitive Advantage,"University of California, Riverside","(47.6038321, -122.3300624)",Washington,King,Seattle,53033
1598,,Data Scientist III at HP,Data Scientist at HP,"University of California, Riverside",Computer Science,"University of California, Riverside",,,,,
1599,"Paris, Île-de-France, France",Digital Marketing Specialist at Solvay,Digital Consultant  at Atos Consulting,Columbia University in the City of New York,Data Analyst,"University of California, Riverside","(48.8588897, 2.3200410217200766)",Île-de-France,Paris,,
1600,Los Angeles  ,Facilities and EHS&S Manager at Dr. Squatch,Facilities and Maintenance Manager at Dr. Squatch,"University of California, Riverside",Project Management,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1601,Los Angeles  ,Vice President of Sales - North America at Covanta,Chief Commercial Officer at Patriot Environmental Services,"University of California, Riverside",Biochemistry,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1602,Las Vegas  ,Owner at Muslusky Law,Attorney at Simon & Associates,California Western School of Law,Law,"University of California, Riverside","(36.1672559, -115.148516)",Nevada,Clark,Las Vegas,32003
1603,Egypt,Investment Professional at Family Office,Investment Banking at NI Capital,The American University in Cairo,Econometrics and Quantitative Economics / Mathematics,"University of California, Riverside","(26.2540493, 29.2675469)",,,,
1604,Spain,Owner at Simone & Marcel,Supply Chain Manager at PROPER,PSB Paris School of Business,"Logistics, Materials, and Supply Chain Management","University of California, Riverside","(39.3260685, -4.8379791)",,,,
1605,Los Angeles  ,Social Media Marketing Manager at Catch,"Assistant Manager, Social Media at TATCHA","University of California, Riverside","English Language and Literature, General","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
1606,San Francisco Bay ,Office Operations at Notion,Office Assistant at Up and Movin' Therapy,"University of California, Riverside",Psychology,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
1607,United States,Lead Product Manager at Cox Automotive Inc. (Kelley Blue Book),Senior User Experience Researcher at Cox Automotive Inc. (Kelley Blue Book),+ 1 more,Human Development and Psychology,"University of California, Riverside","(39.7837304, -100.445882)",,,,
1608,"Los Angeles County, California, United States",Demand Generation Manager at Webflow,Marketing Manager at PatientPop Inc.,University of Kent,Accounting,"University of California, Riverside","(34.3155072, -118.2096814)",California,Los Angeles,,6037
