,current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
1111,"Hermitage, Pennsylvania, United States","President at G.W. Becker, Inc.","Vice President at G. W. Becker, Inc.",+ 1 more,,Pennsylvania State,"G.W. Becker, Inc.","G. W. Becker, Inc.",,,,,,,,41.23339,-80.44868,Pennsylvania,Mercer,,42085
1112,"Bridgeville, Pennsylvania, United States",CEO of Snapology at Snapology,Actuary at Aetna,Penn State University,Mathematics,Pennsylvania State,Snapology,Aetna,,,,,,,,40.35618,-80.110056,Pennsylvania,Allegheny,,42003
1113,Los Angeles  ,Vice President at Monogram Capital Partners,Associate at Monogram Capital Partners,Cornell University,Economics,Pennsylvania State,Monogram Capital Partners,Monogram Capital Partners,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
1114, Pittsburgh ,Regional Vice President of Strategy at Encompass Health,Division Manager at Encompass Health,+ 2 more,Health Care Management & Marketing,Pennsylvania State,Encompass Health,Encompass Health,623110 Skilled nursing facilities,,62,,Health Care and Social Assistance,76373.049,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1115,"Austin, Texas, United States","Director, Analytics and Data Science at Expedia Group","Sr. Manager, Analytics Partner Success at Vrbo",Northwestern University,Predictive Analytics,Pennsylvania State,Expedia Group,Vrbo,541810 Advertising agency consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,30.271129,-97.7437,Texas,Travis,Austin,48453
1116, Philadelphia,"Director and President at Southern Cross Management, Inc.","Real Estate Owner at KBI Biopharma Properties, LLC",Penn State University,Finance,Pennsylvania State,"Southern Cross Management, Inc.","KBI Biopharma Properties, LLC",,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1117,"Trenton, New Jersey, United States","Associate Director, Customer Experience & Asset Communication at Bristol Myers Squibb","Associate Director, Channel & Specialty Pharmacy Operations at Otsuka Pharmaceutical Companies (U.S.)",Penn State University,Business/Managerial Economics,Pennsylvania State,Bristol Myers Squibb,Otsuka Pharmaceutical Companies (U.S.),325412 Zinc oxide medicinal preparations manufacturing,,31-33,,Manufacturing,69174.562,,40.217058,-74.742946,New Jersey,Mercer,Trenton,34021
1118,Miami-Fort Lauderdale ,Head Of Business Development Educational Services at American Welding Society,Co-Founder & Executive Director/CEO at College Bridge,"University of California, Los Angeles",Educational Leadership and Entrepreneurship,Pennsylvania State,American Welding Society,College Bridge,813910 Wholesalers' associations,,81,,Other Services (except Public Administration),57824.628,,26.09474,-80.135182,Florida,Broward,Fort Lauderdale,12011
1119,New York City  ,"Director, Finance & Data Analytics at American Dream","Senior Manager, Strategic Finance & Analytics at WeWork",New York University - Leonard N. Stern School of Business,"Finance, Strategy, Marketing",Pennsylvania State,American Dream,WeWork,"236220 Warehouse, industrial, construction",,23,,Construction,64648.972,,40.712728,-74.006015,New York,,New York,36061
1120,"Philadelphia, Pennsylvania, United States","Manager, Diverse Supplier Initiatives - Supplier Diversity  at AmeriHealth Caritas","Senior Diversity Program Lead, National Supplier Diversity  at American Water",Drexel University,Communications & Applied Technology,Pennsylvania State,AmeriHealth Caritas,American Water,524114 Medical service plans without providing health care services,,52,,Finance and Insurance,80163.492,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1121,Kansas City  ,Operating Partner at DalFort Capital Partners LLC,General Manager and VP Global Air Systems at Johnson Controls,Penn State University,"Business Administration and Management, General",Pennsylvania State,DalFort Capital Partners LLC,Johnson Controls,,,,,,,,39.100105,-94.578142,Missouri,Jackson,Downtown Kansas City,29095
1122, Boston,Director of Communications at Mattermost,Head of Corporate Marketing and Customer Marketing at Logz.io,2002–2006,Double Major: Journalism and Political Science,Pennsylvania State,Mattermost,Logz.io,"541511 Web (i.e., Internet) page design services, custom",,54,,"Professional, Scientific, and Technical Services",77645.346,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
1123,"Dallas, Texas, United States",Vice President-Facilities and Capital Planning at Remington Hotels,"Senior Director, Construction and Project Management at Phoenix American Hospitality",Penn State University,Hotel/Motel Administration/Management,Pennsylvania State,Remington Hotels,Phoenix American Hospitality,561110 Office management services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,32.776272,-96.796856,Texas,Dallas,Dallas,48113
1124, Boston,"Vice President, Immuno-Oncology at Tiga Tx","Senior Director, Discovery Research at Pyxis Oncology",University of Wisconsin-Madison,Biochemistry,Pennsylvania State,Tiga Tx,Pyxis Oncology,,,,,,,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
1125, Sacramento,Retired Managing Director at Insurge Inc.,Managing Director at Insurge,Penn State University,HISTORY/THIRD WORLD HISTORY/SPANISH/MANDARIN/RUSSIAN/ROTC,Pennsylvania State,Insurge Inc.,Insurge,,,,,,,,38.581061,-121.493895,California,Sacramento,Sacramento,06067
1127,"Boston, Massachusetts, United States",Account Executive at Coupa Software,Application Sales Representative at Oracle,Penn State University,"Business Administration and Management, General",Pennsylvania State,Coupa Software,Oracle,"511210 Utility software, computer, packaged",,51,,Information,73855.595,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
1128,"Flowood, Mississippi, United States",Director of Learning and Development at Tower Loan,Talent Acquisition Specialist at BBSI,Penn State University,Human Resources and Employment Relations (HRER),Pennsylvania State,Tower Loan,BBSI,524126 Workers' compensation insurance underwriting,,52,,Finance and Insurance,80163.492,,32.309286,-90.138681,Mississippi,Rankin,Flowood,28121
1129,"New York, New York, United States",Social Media Marketing Strategist at WorkFusion,Social Media Marketing Manager at Conseil Interprofessionnel des Vins du Languedoc,Pennsylvania State University-Penn State Berks,"PR, Advertising, Digital Communications and International Communications",Pennsylvania State,WorkFusion,Conseil Interprofessionnel des Vins du Languedoc,"511210 Utility software, computer, packaged",,51,,Information,73855.595,,40.712728,-74.006015,New York,,New York,36061
1130,"New Hope, Pennsylvania, United States",Director of Operations at CLX Logistics,Director of Materials Management/Logistics Manager at Gamesa,1991–1996,Business Logistics,Pennsylvania State,CLX Logistics,Gamesa,488510 Shipping agents (freight forwarding),,48-49,,Transportation and Warehousing,65503.789,,40.361979,-74.95792,Pennsylvania,Bucks,,42017
1133,"Richmond, Virginia, United States","VP, Strategy & Pricing at LL Flooring","Director, Strategy at Lumber Liquidators",Penn State University,,Pennsylvania State,LL Flooring,Lumber Liquidators,,,,,,,,37.538509,-77.43428,Virginia,,Richmond,51159
1134,"Pittsburgh, Pennsylvania, United States",Vice President of Marketing and Communications  at Duquesne University,Vice President of Strategic Communications and Marketing  at Juniata College,Penn State University,English,Pennsylvania State,Duquesne University,Juniata College,611310 Universities,,61,,Educational Services,67390.465,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1135,"Harrisburg, Pennsylvania, United States",President & Managing Partner at Hynum Law,,1996–2000,Marketing,Pennsylvania State,Hynum Law,,,,,,,,,40.266311,-76.886112,Pennsylvania,Dauphin,Harrisburg,42043
1136,"Plymouth, Michigan, United States","Senior Director of Internal Applications and Reporting at DaySmart Software, Inc.",Director of Project Management and Software Development - Technology Platforms at Atlas Oil Company,1994–1998,"Industrial/Organizational Psychology, Leadership and Motivation",Pennsylvania State,"DaySmart Software, Inc.",Atlas Oil Company,,,,,,,,42.3712,-83.467502,Michigan,Wayne,,26163
1137,"Austin, Texas, United States",Managing Director at TruSight PEI LLC,Investment Banker at Slate Financial,Stockholm School of Economics,Finance,Pennsylvania State,TruSight PEI LLC,Slate Financial,,,,,,,,30.271129,-97.7437,Texas,Travis,Austin,48453
1139,"Summerville, South Carolina, United States",Owner/ Chiropractic Physician at Summerville Spine and Disc Center,Associate Chiropractic Physician at care chiropractic center,Palmer College of Chiropractic,Chiropractic,Pennsylvania State,Summerville Spine and Disc Center,care chiropractic center,,,,,,,,33.01867,-80.17627,South Carolina,Dorchester,,45035
1141, Pittsburgh ,Regional Vice President Of Operations at Spectrum Vision Partners,Chief Operating Officer at Associates in Ophthalmology,Penn State University,Health Policy and Administration,Pennsylvania State,Spectrum Vision Partners,Associates in Ophthalmology,"621493 Urgent medical care centers and clinics (except hospitals), freestanding",,62,,Health Care and Social Assistance,76373.049,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1142, Pittsburgh ,Vice President - Digital Product Management Senior Manager at PNC,SVP - Director of Digital Banking at WesBanco,Penn State University,"Business Administration and Management, General",Pennsylvania State,PNC,WesBanco,522110 State commercial banks,,52,,Finance and Insurance,80163.492,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1143,New York City  ,Chief Information Security Officer at CoreWeave,"Senior Manager, Business Information Security at LSEG (London Stock Exchange Group)",Penn State University,Security Risk Analysis / Information Sciences and Technology,Pennsylvania State,CoreWeave,LSEG (London Stock Exchange Group),,,,,,,,40.712728,-74.006015,New York,,New York,36061
1144,"Incline Village, Nevada, United States","Director, Intelligent Automation at ISG (Information Services Group)",Digital Workplace Services Innovation Consultant at The Future of Client-Technology Interaction,+ 2 more,Computer Science with a minor in Artificial Intelligence,Pennsylvania State,ISG (Information Services Group),The Future of Client-Technology Interaction,541611 Strategic planning consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,39.250125,-119.951909,Nevada,Washoe,,32031
1145,"Pensacola, Florida, United States",Health And Wellness Coach at TRISTAR Insurance Group,Care Manager  at WellCare Health Plans,Penn State University,nursing,Pennsylvania State,TRISTAR Insurance Group,WellCare Health Plans,561110 Office management services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,30.421309,-87.216915,Florida,Escambia,Pensacola,12033
1146,New York City  ,"Director Global Business Development at Ginkgo Bioworks, Inc.",General Manager Sustainable Solutions - Personal Care at Honeywell,Penn State School of Business,Marketing,Pennsylvania State,"Ginkgo Bioworks, Inc.",Honeywell,325414 Virus vaccines manufacturing,,31-33,,Manufacturing,69174.562,,40.712728,-74.006015,New York,,New York,36061
1147, Philadelphia,Vice President and General Manager - Enterprise Financial Services and Insurance at DocuSign at DocuSign,"Strategic Enterprise Account Executive, DocuSign at DocuSign",Villanova University,Masters of Business Administration,Pennsylvania State,DocuSign,DocuSign,"511210 Utility software, computer, packaged",,51,,Information,73855.595,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1148,"Seattle, Washington, United States",Consultant at Fabric,VP of Supply Chain at 4Front,Penn State University,Supply Management and Information Systems with a minor in Economics,Pennsylvania State,Fabric,4Front,"448110 Clothing stores, men's and boys'",,44-45,,Retail Trade,56013.266,,47.603832,-122.330062,Washington,King,Seattle,53033
1149,"Baltimore City County, Maryland, United States",Partner at Summit Technology Consulting Group,EVP Operations & Technology at Orrstown Bank,Duke University - The Fuqua School of Business,Tax Law,Pennsylvania State,Summit Technology Consulting Group,Orrstown Bank,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,39.346177,-76.644267,Maryland,,Baltimore,24005
1150,New York City  ,Director of Enterprise Applications at Pitney Bowes,Senior Information Technology Specialist at George Soros Foundation,1998–2003,Finance,Pennsylvania State,Pitney Bowes,George Soros Foundation,"511210 Utility software, computer, packaged",,51,,Information,73855.595,,40.712728,-74.006015,New York,,New York,36061
1151,"Seattle, Washington, United States",Data Engineering Manager - AWS Data Platform at Amazon Web Services (AWS),"Director, Data Engineering and Data Science at Arteza",Penn State University,Information Systems,Pennsylvania State,Amazon Web Services (AWS),Arteza,,,,,,,,47.603832,-122.330062,Washington,King,Seattle,53033
1152,"State College, Pennsylvania, United States","Founder, Board Member  at EnergyCAP, LLC","Founder & CEO at EnergyCAP, Inc.",1979–1980,Architectural Engineering,Pennsylvania State,"EnergyCAP, LLC","EnergyCAP, Inc.","541511 Web (i.e., Internet) page design services, custom",,54,,"Professional, Scientific, and Technical Services",77645.346,,40.79445,-77.861639,Pennsylvania,Centre,State College,42027
1153,"Coppell, Texas, United States",Director of Global Security at Flowserve Corporation,Operations Manager at Central Intelligence Agency,University of Pennsylvania,Political Science and Government,Pennsylvania State,Flowserve Corporation,Central Intelligence Agency,"331511 Water pipe, cast iron, manufacturing",,31-33,,Manufacturing,69174.562,,32.95526,-97.01557,Texas,Dallas,,48113
1154,"North Wales, Pennsylvania, United States",Retired Partner at EY,Partner at Ernst & Young LLP,Penn State University,Accounting,Pennsylvania State,EY,Ernst & Young LLP,541213 Tax return preparation services,,54,,"Professional, Scientific, and Technical Services",77645.346,,40.211222,-75.27415,Pennsylvania,Montgomery,,42091
1155,"Dallas, Texas, United States",Vice President Strategic Partnerships at Chase,Associate / Business Management at Chase Paymentech,1992–1998,Biobehavioral Health,Pennsylvania State,Chase,Chase Paymentech,522291 Student loan companies,,52,,Finance and Insurance,80163.492,,32.776272,-96.796856,Texas,Dallas,Dallas,48113
1157,North Port-Sarasota ,"Franchise Co-Owner & NASM Coach, Port Charlotte West, Florida at F45 Training","Michael Bluemling Jr. for Congress, Candidate, Florida District 21-Republican at US Congress",Penn State University,"Staffing, Training, and Development",Pennsylvania State,F45 Training,US Congress,423910 Trapshooting equipment and supplies merchant wholesalers,,42,,Wholesale Trade,68623.359,,27.044224,-82.235925,Florida,Sarasota,North Port,12115
1158,San Francisco Bay ,"Head of Security Governance, Risk and Compliance / Director, Security Compliance (GRC) at Earnin",Cybersecurity and Technology Risk Management Leader at Symantec,University of Virginia,Systems Engineering,Pennsylvania State,Earnin,Symantec,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
1160,"State College, Pennsylvania, United States",Owner/Founder/Fitness Coach at MBI Fitness,Founding Member at Men's Health Fitness Council,Penn State University,Psychology with Business Option,Pennsylvania State,MBI Fitness,Men's Health Fitness Council,,,,,,,,40.79445,-77.861639,Pennsylvania,Centre,State College,42027
1161,Los Angeles  ,Senior Commodity Director at Virgin Galactic,Supply Chain Consultant at Maine Pointe,Penn State University,Executive Leadership Certification,Pennsylvania State,Virgin Galactic,Maine Pointe,561499 Videoconferencing services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
1163,"Pittsburgh, Pennsylvania, United States",Manager Supply Chain Process at Kennametal,Digital Supply Chain Architect at Kennametal,Penn State University,Supply Chain and Information Systems,Pennsylvania State,Kennametal,Kennametal,423830 Woodworking machinery merchant wholesalers,,42,,Wholesale Trade,68623.359,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1164,"New York, New York, United States",Head of Strategic Planning at Snagajob,Senior Finance Manager at WeWork,Columbia Business School,"Finance, International Business",Pennsylvania State,Snagajob,WeWork,,,,,,,,40.712728,-74.006015,New York,,New York,36061
1165,"Pittsburgh, Pennsylvania, United States",Director of Customer Experience at Allegheny County Airport Authority,"Senior Analyst, Strategic Initiatives at Allegheny County Airport Authority",Robert Morris University,Emphasis on Human Resource Management,Pennsylvania State,Allegheny County Airport Authority,Allegheny County Airport Authority,488119 Vacuuming of airport runways,,48-49,,Transportation and Warehousing,65503.789,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1166,New York City  ,"Managing Director/GM, Americas at Vuealta",Managing Director at Impetus Consulting Group (now Keyrus EPM Americas),Penn State University,Business Economics,Pennsylvania State,Vuealta,Impetus Consulting Group (now Keyrus EPM Americas),,,,,,,,40.712728,-74.006015,New York,,New York,36061
1167,"Stamford, Connecticut, United States","VP Supply Chain Planning - Laundry, NA at Henkel","Head of Purchasing, NA at Henkel",IESE Business School,"Logistics, Materials, and Supply Chain Management",Pennsylvania State,Henkel,Henkel,325520 Tile adhesives manufacturing,,31-33,,Manufacturing,69174.562,,41.05343,-73.538734,Connecticut,Fairfield,Stamford,09001
1168,"Philadelphia, Pennsylvania, United States","Director of Complex Litigation at Esquire Deposition Solutions, LLC",Business Development Manager- Litigation at Buchanan Ingersoll & Rooney PC,Delaware Law School,Law,Pennsylvania State,"Esquire Deposition Solutions, LLC",Buchanan Ingersoll & Rooney PC,561492 Stenotype recording services,,56,,Administrative and Support and Waste Management and Remediation Services,64366.438,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1170, Philadelphia,Director - Hybrid Infrastructure at Arraya Solutions,Director - Data Center at Arraya Solutions,1994–1997,Environmental Science,Pennsylvania State,Arraya Solutions,Arraya Solutions,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1171,"Pittsburgh, Pennsylvania, United States",Partner at Defiant Interchange Advisors,Financial Advisor at The Business Transition Group with UBS,Penn State University,"Psychology, Business",Pennsylvania State,Defiant Interchange Advisors,The Business Transition Group with UBS,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
1172,New York City  ,Head of Investment Strategy and Research at Geller Advisors LLC,Head of Manager Selection- Portfolio Manager at Geller Advisors,Loyola Blakefield,Economics,Pennsylvania State,Geller Advisors LLC,Geller Advisors,541611 Strategic planning consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,40.712728,-74.006015,New York,,New York,36061
1174,"Austin, Texas, United States",Chief Revenue Officer (CRO) at Xeal,Managing Partner at LPC Ventures,Penn State University,"BS, Finance & Minor in Engineering Entrepreneurship",Pennsylvania State,Xeal,LPC Ventures,,,,,,,,30.271129,-97.7437,Texas,Travis,Austin,48453
1176,Los Angeles  ,Senior Business Development Representative at FloQast,Senior Associate | Deal Advisory at KPMG US,Penn State University,Accounting,Pennsylvania State,FloQast,KPMG US,"541511 Web (i.e., Internet) page design services, custom",,54,,"Professional, Scientific, and Technical Services",77645.346,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
1178,"Boston, Massachusetts, United States","Manager, Commercial Sales at Datadog",Sr. Account Executive at Datadog,Penn State University,"Logistics, Materials, and Supply Chain Management",Pennsylvania State,Datadog,Datadog,"511210 Utility software, computer, packaged",,51,,Information,73855.595,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
1179, Chicago ,Director of Learning and Development at Sonatype,Learning and Development Lead at Stats Perform,Penn State University,Strategic Communications,Pennsylvania State,Sonatype,Stats Perform,443142 Video tape stores,,44-45,,Retail Trade,56013.266,,41.875562,-87.624421,Illinois,Cook,Chicago,17031
1180, Seattle ,Executive Vice President of Strategy at Input Output (IOHK),"Adjunct Lecturer at University of Washington, Michael G. Foster School of Business",Harvard Business School,,Pennsylvania State,Input Output (IOHK),"University of Washington, Michael G. Foster School of Business",,,,,,,,47.603832,-122.330062,Washington,King,Seattle,53033
1182,"Wilkes-Barre, Pennsylvania, United States",Director of Enterprise Applications at Benco Dental,Senior Architect at Emerson Commercial & Residential Solutions,Penn State University,,Pennsylvania State,Benco Dental,Emerson Commercial & Residential Solutions,339112 Veterinarians' instruments and apparatus manufacturing,,31-33,,Manufacturing,69174.562,,41.246482,-75.881732,Pennsylvania,Luzerne,Wilkes-Barre,42079
1183,"Austin, Texas  ","Founder, CallButton.AI, Inc at Callbutton.ai Inc.","Vice President, Mobile Technology at Charles Schwab",Penn State University,Computer Engineering,Pennsylvania State,Callbutton.ai Inc.,Charles Schwab,,,,,,,,30.271129,-97.7437,Texas,Travis,Austin,48453
1184,"Harrisburg, Pennsylvania, United States","Executive Vice President, Chief Information Officer at Stewart Companies","Executive Director, Information Technology, Group Security Officer at SunGard",Penn State University,Finance,Pennsylvania State,Stewart Companies,SunGard,,,,,,,,40.266311,-76.886112,Pennsylvania,Dauphin,Harrisburg,42043
1185,"Easton, Pennsylvania, United States",Director of eCommerce at The Institutes,Vice President of Marketing at Fromm,Penn State University,Integrated Arts,Pennsylvania State,The Institutes,Fromm,"923120 Public health program administration, nonoperating",,92,,,,,40.691608,-75.209987,Pennsylvania,Northampton,Easton,42095
1186,"El Mirage, Arizona, United States",Director Digital Product & Experience at Meritage Homes,"Director of all things Product (strategy, innovation, UI/UX, management) at AppointmentPlus",Penn State University,Communications and Technology,Pennsylvania State,Meritage Homes,AppointmentPlus,"236115 Vacation home, single-family, construction by general contractors",,23,,Construction,64648.972,,33.613034,-112.324487,Arizona,Maricopa,,04013
1187,"West Chester, Pennsylvania, United States","Senior Director, Sales Operations and Strategy at Marinus Pharma","Director, Commercial Operations at Viela Bio",Penn State University,Biotechnology and Health Industry Management,Pennsylvania State,Marinus Pharma,Viela Bio,,,,,,,,39.959721,-75.605964,Pennsylvania,Chester,,42029
1188,"Lombard, Illinois, United States",Vice President of Technology at Accurate Perforating,MIS Director at American Needle,Penn State University,MIS and Operations Management,Pennsylvania State,Accurate Perforating,American Needle,423510 Wire screening merchant wholesalers,,42,,Wholesale Trade,68623.359,,41.886469,-88.020154,Illinois,DuPage,,17043
1189, Philadelphia,IT Director - Customer Service Solutions at AmerisourceBergen,"IT Director - Sales, Service  & Marketing Solutions at First Quality",Penn State University,Life Sciences and Biotech Innovation,Pennsylvania State,AmerisourceBergen,First Quality,"423450 X-ray machines and parts, medical and dental, merchant wholesalers",,42,,Wholesale Trade,68623.359,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1190,"Raleigh, North Carolina, United States",Vice President at Align Technology,Vice President at LivaNova,London Business School,"Health Policy & Administration, Gerontology",Pennsylvania State,Align Technology,LivaNova,,,,,,,,35.780398,-78.639099,North Carolina,Wake,Raleigh,37183
1191,"Alpharetta, Georgia, United States","Vice President, Procurement and Distribution at The Honey Baked Ham Company, LLC","General Manager / Proprietor at Payson Feed and Pet, LLC",University of Cincinnati,Accounting,Pennsylvania State,"The Honey Baked Ham Company, LLC","Payson Feed and Pet, LLC","311412 Whipped topping, frozen, manufacturing",,31-33,,Manufacturing,69174.562,,34.070958,-84.274733,Georgia,Fulton,,13121
1192,"New York, New York, United States","Director, Product Development & Sourcing for Women's Ready-to-Wear at Walmart at Walmart","Director, Elevated Fashion Brands at Walmart eCommerce",Fashion Institute of Technology,Merchandising and Management,Pennsylvania State,Walmart,Walmart eCommerce,452311,,44-45,,Retail Trade,56013.266,,40.712728,-74.006015,New York,,New York,36061
1193,"Charlotte, North Carolina, United States","Director, Brand Media at LendingTree",Senior Brand Media Manager at LendingTree,1997–2001,Advertising/PR,Pennsylvania State,LendingTree,LendingTree,"531210 Selling real estate for others (i.e., agents, brokers)",,53,,Real Estate and Rental and Leasing,60268.137,,35.227209,-80.843083,North Carolina,Mecklenburg,Charlotte,37119
1194,"Exeter, New Hampshire, United States","Vice President, MDU Sales and Strategy at Frontier Communications","Vice President of Sales, MDU Markets at Single Digits, Inc.",2000–2004,Chemistry,Pennsylvania State,Frontier Communications,"Single Digits, Inc.",517311,,51,,Information,73855.595,,42.981477,-70.947834,New Hampshire,Rockingham,,33015
1195,"Teaneck, New Jersey, United States",Chief Operating Officer at Quontic Bank,Chief Risk Officer at Quontic Bank,1988–1990,Finance,Pennsylvania State,Quontic Bank,Quontic Bank,522110 State commercial banks,,52,,Finance and Insurance,80163.492,,40.886016,-74.007257,New Jersey,Bergen,,34003
1198,"Charlotte, North Carolina, United States","EVP - Head of Digital and Customer Experience at Citizens Financial Group, Inc.","SVP - Head of Digital and Head of Direct Marketing at Citizens Financial Group, Inc.",Penn State University,Marketing,Pennsylvania State,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc.",522110 State commercial banks,,52,,Finance and Insurance,80163.492,,35.227209,-80.843083,North Carolina,Mecklenburg,Charlotte,37119
1199, Harrisburg ,"Sr. Director, Consumer Architect at PVH Corp.","Director, Digital Platforms at RITE AID",Penn State University,Information Sciences and Technology,Pennsylvania State,PVH Corp.,RITE AID,"448110 Clothing stores, men's and boys'",,44-45,,Retail Trade,56013.266,,40.266311,-76.886112,Pennsylvania,Dauphin,Harrisburg,42043
1200,"Feasterville-Trevose, Pennsylvania, United States",Chief Marketing & Chief Digital Officer at SUEZ - Water Technologies & Solutions,Chief Commercial Officer at SUEZ - Water Technologies & Solutions,1983–1987,,Pennsylvania State,SUEZ - Water Technologies & Solutions,SUEZ - Water Technologies & Solutions,423720 Water softening and conditioning equipment merchant wholesalers,,42,,Wholesale Trade,68623.359,,40.151328,-74.988734,Pennsylvania,Bucks,Lower Southampton Township,42017
1201,"Greenville, South Carolina, United States",CFO at Integrated Power Services,"CFO, Security | Europe at Stanley Black & Decker, Inc.",Pennsylvania State University,Management Information Systems,Pennsylvania State,Integrated Power Services,"Stanley Black & Decker, Inc.","811310 Welding repair services (e.g., automotive, general)",,81,,Other Services (except Public Administration),57824.628,,34.851354,-82.398488,South Carolina,Greenville,Greenville,45045
1202, Philadelphia,"President and Managing Director - Americas at IPS-Integrated Project Services, LLC",Director / Team Leader at Pfizer,Harvard Business School Online,Disruptive Strategy,Pennsylvania State,"IPS-Integrated Project Services, LLC",Pfizer,541330 Traffic engineering consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
1203,Kansas City  ,"Director, Logistics Procurement at Dairy Farmers of America","Assistant Director, Warehouse Procurement at Dairy Farmers of America",Lehigh University - College of Business and Economics,"Logistics, Materials, and Supply Chain Management",Pennsylvania State,Dairy Farmers of America,Dairy Farmers of America,311511 Yogurt (except frozen) manufacturing,,31-33,,Manufacturing,69174.562,,39.100105,-94.578142,Missouri,Jackson,Downtown Kansas City,29095
1204,"Fort Lauderdale, Florida, United States",Executive Vice President Technology & CIO at Jushi Holdings Inc.,Senior Vice President & Chief Information Officer at Seminole Gaming -- Seminole Hard Rock Hotels & Casinos,University of Saint Thomas - School of Business,Math and Science,Pennsylvania State,Jushi Holdings Inc.,Seminole Gaming -- Seminole Hard Rock Hotels & Casinos,"339999 Wreaths, artificial, manufacturing",,31-33,,Manufacturing,69174.562,,26.122308,-80.143379,Florida,Broward,Fort Lauderdale,12011
1205,"Charlotte, North Carolina, United States",CEO at Independent Advisor Alliance,Retirement Plan Consultant at A.G.Edwards,The University of Tennessee,,Pennsylvania State,Independent Advisor Alliance,A.G.Edwards,541611 Strategic planning consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,35.227209,-80.843083,North Carolina,Mecklenburg,Charlotte,37119
1206,"Farragut, Tennessee, United States",Senior Manager Global Procurement at Kimberly-Clark,"Consultant-SME (GLG, Alphasites, Thirdbridge, Coleman) at Self-employed",Penn State University,"Foreign Study Program, Co-Op-Purchasing, Transportation",Pennsylvania State,Kimberly-Clark,Self-employed,322121 Writing paper made in paper mills,,31-33,,Manufacturing,69174.562,,35.884524,-84.153526,Tennessee,Knox,,47093
1207,"Palo Alto, California, United States",CEO & Founder at RightHook acquired by Spectris plc,Cybersecurity Manager at Ford,Penn State University,MIS,Pennsylvania State,RightHook acquired by Spectris plc,Ford,,,,,,,,37.444329,-122.159846,California,Santa Clara,Palo Alto,06085
1208,"Baltimore, Maryland, United States","Senior Director, Strategic Partnerships  at Trialbee","Executive Director, Data Solutions  at Anju Software",Penn State University,Communications,Pennsylvania State,Trialbee,Anju Software,,,,,,,,39.290882,-76.610759,Maryland,,Baltimore,24005
1209,"Los Angeles, California, United States",Chief Executive Officer at BLAST,Head of Information Security at Albert,Penn State University,Information Technology,Pennsylvania State,BLAST,Albert,"423320 Tile, structural clay (except refractory), merchant wholesalers",,42,,Wholesale Trade,68623.359,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
1210,"North Wales, Pennsylvania, United States",Sr. Procurement Mgr. at Radial Inc.,Senior Procurement Manager at Henkels & McCoy,1985–1989,Business Logistics,Pennsylvania State,Radial Inc.,Henkels & McCoy,"511210 Utility software, computer, packaged",,51,,Information,73855.595,,40.211222,-75.27415,Pennsylvania,Montgomery,,42091
