current_location,current_work,previous_work,latest_Education,majro,search_school,Unnamed: 0
Taiwan,"Chief Commercial Officer (CCO) at Orient Europharma Co., Ltd","Vice President of Management Business Support at Orient Europharma Co., Ltd",1994–1998,Accounting,"University of California, Riverside",
"Huntington Beach, California, United States",President at The Specialists in Law Firm Marketing,Director of Marketing at Deloitte & Touche LLP,1982–1984,Marketing,"University of California, Riverside",
"Los Altos, California, United States","Chief Marketing Officer at Naviga, a Vista Equity Partners portfolio company","Sr. Director, Product Marketing at Salesforce",Santa Clara University,Computer/Information Technology Administration and Management,"University of California, Riverside",
"Lake Forest, California, United States",Director of Sales Operations at PairSoft,Director of Sales & Marketing Operations at CAKE (getCAKE.com),"University of California, Riverside",Business Administration,"University of California, Riverside",
Ireland,Senior Marketing Manager at HubSpot,Marketing Manager at HubSpot,"University of California, Riverside",Business,"University of California, Riverside",
"San Diego, California, United States","Head, Clinical Operations at Sorrento Therapeutics, Inc.",Life Sciences Executive at Life Sciences Consultant,University of Illinois at Urbana-Champaign,Molecular Endrocrinology & Metabolism,"University of California, Riverside",
"Newport Beach, California, United States",Sr Staff SRE/DevOps Architect at Dexcom,Senior DevOps Engineer at Backbase,Education (same page),Mathematics,"University of California, Riverside",
"Irvine, California, United States","Executive Vice President, Chief Market Officer at The Liberty Company Insurance Brokers, Inc.","Senior Vice President - Director, Enterprise Business Division at The Liberty Company Insurance Brokers, Inc.","University of California, Riverside","Biology/Biological Sciences, General","University of California, Riverside",
Denver Metropolitan Area,Founder at Consumer Research Associates,"Senior Researcher at Brooks Stevens, Inc.",1997–2003,Communications/Media Studies,"University of California, Riverside",
"Palm Desert, California, United States",Vice President Marketing at Renova Energy,Sales and Marketing Admin at Westin Hotels & Resorts,"University of California, Riverside",Creative Writing,"University of California, Riverside",
"Basel, Basel, Switzerland",Worldwide Medical Affairs Director - Ophthalmology Retina at Novartis,Worldwide Medical A. Director at Novartis,Universidad Anáhuac / Universidad Anahuac,Medico,"University of California, Riverside",
"Rancho Cucamonga, California, United States",Corporate Controller at Bulletproof 360,"Sr. Manager, Strategy & Transformation at Bulletproof 360","University of California, Riverside",Accounting,"University of California, Riverside",
Los Angeles Metropolitan Area,"EVP, Chief Risk Officer at California First National Bank",SVP & BSA Officer at Pacific City Bank,1991–1993,,"University of California, Riverside",
"Temple City, California, United States",Director of Vendor Management  at Zenlayer,Program Manager at Zenlayer,"University of California, Riverside",Accounting,"University of California, Riverside",
Spain,"Performance Marketing Senior Manager, ASO at King",Senior Product Marketing Manager at Tilting Point,"University of California, Riverside",,"University of California, Riverside",
Los Angeles Metropolitan Area,"Executive Director, Global Biostatistics -General Medicine at Amgen",Head of Global Biostatistics & Ops at Edwards Lifesciences,1992–1997,Statictics,"University of California, Riverside",
"Los Angeles, California, United States",Director Of Operations at L.A. Banquets,Senior Manager at Fleming's Prime Steakhouse & Wine Bar,"University of California, Riverside","Business, Management, Marketing, and Related Support Services","University of California, Riverside",
"Montclair, California, United States",Senior Campaign Strategist at Esri,Senior Marketing Manager at Newegg,"University of California, Riverside","Marketing, Sociology","University of California, Riverside",
"Minneapolis, Minnesota, United States",Head of Research and Development at Vergent Bioscience,President at USA Mobile Drug Testing of Minneapolis,1992–1999,Biological Chemistry,"University of California, Riverside",
"Orange County, California, United States",Corporate Safety Director at Hill Crane Service Inc.,Safety Manager at Griffith Company,University of San Diego,Occupational Safety and Health,"University of California, Riverside",
"Anchorage, Alaska, United States",President at University of Alaska Foundation,"Executive Vice Chancellor  at Brandman University, Part of the Chapman University System",University of Southern California,Management/Finance,"University of California, Riverside",
Los Angeles Metropolitan Area,Chief Market Development Officer at Kara Health,Chief Strategy Officer at VNA Health Care Inc.,"University of California, Riverside",Political Science and Government,"University of California, Riverside",
"Washington, Pennsylvania, United States",Chief Financial Officer/ Vice President of Business and Finance at Washington & Jefferson College,"Associate Vice President, Finance and Administration at Claremont Graduate University",University of La Verne,Leadership and Management,"University of California, Riverside",
Los Angeles Metropolitan Area,"Product Manager, Technology at VIZIO","Technical Consulting Engineer, Cloud and Shared Services at Cisco",Cornell University,Marketing,"University of California, Riverside",
Los Angeles Metropolitan Area,Director Of Brand Management at Marketplace Valet,,"University of California, Riverside",,"University of California, Riverside",
Los Angeles Metropolitan Area,"Senior Manager CRM, Consumer Marketing at Quest Diagnostics","AVP, Consumer Marketing at Synchrony",Education (same page),Business Administration,"University of California, Riverside",
"Orange County, California, United States",Chief Financial Officer at Zonda,Divisional Controller at Advantage Sales & Marketing,1990–1994,Accounting,"University of California, Riverside",
"Cypress, California, United States","Manager, User Acquisition at Blizzard Entertainment",Senior Growth Manager - Amazon Games at Amazon,Education (same page),Economics,"University of California, Riverside",
San Francisco Bay Area,"Sr. Director, Product Marketing at Balbix",Director - Product Marketing at WhiteHat Security,Santa Clara University - Leavey School of Business,Marketing and Data Analytics,"University of California, Riverside",
New York City Metropolitan Area,Sourcing & Procurement Manager at Prose,Procurement Regional Category Lead - Retail   at Coty,KEDGE Business School,International Purchasing & Innovation,"University of California, Riverside",
"Orange County, California, United States",Vice President at Risk Strategies Company,Vice President at Heffernan Insurance Brokers,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",
"Los Angeles, California, United States","Project Coordinator, Corporate Development  at Optum",Administrative Resident at Kaiser Permanente,University of Southern California - Sol Price School of Public Policy,Health/Health Care Administration/Management,"University of California, Riverside",
"Irvine, California, United States",Head Of Advanced Operations at Logitech,Head Of Product & Operations - Ultimate Ears CIEM at Logitech,"University of California, Berkeley, Haas School of Business",COBE,"University of California, Riverside",
Los Angeles Metropolitan Area,Search Marketing Manager at the LEGO Group,Project Manager | Amazon Marketplace Consultant at justice.consulting,"University of California, Riverside",Project Management,"University of California, Riverside",
500+ connections,Business Optimization Manager at Profit Recovery Partners,Business Optimization Analyst at Profit Recovery Partners,"University of California, Riverside",Mathematics,"University of California, Riverside",
"Jakarta, Jakarta, Indonesia","Head of Strategy&Planning - Corporate Development                           (Jakarta, Indonesia) at KORINDO","Investment Manager (Seoul, Korea) at POSCO Energy",INSEAD,"Business Administration and Management, General","University of California, Riverside",
"Brooklyn, New York, United States",Chief Creative Officer at Laundry Service,Executive Creative Director at POSSIBLE,Temple University,english,"University of California, Riverside",
"Irvine, California, United States",Vice President of Marketing at Balt USA,Group Marketing Manager at ev3,"University of California, Irvine - The Paul Merage School of Business",Business,"University of California, Riverside",
"Waltham, Massachusetts, United States","Senior Director, Head of Fibrosis at Morphic Therapeutic","Director, Head of Fibrosis at Morphic Therapeutic","University of California, Riverside",Biomedical Science,"University of California, Riverside",
"Paris, Île-de-France, France",Human Resources Manager at ekWateur,HR @ ekWateur at ekWateur,CIFFOP,HR Management,"University of California, Riverside",
"Sacramento, California, United States",School Principal at Washington Unified School District,High School Principal at Stockton Unified School District,Concordia University Irvine,Intrinsic and External Factors That Influence The Academic Success of English Language Learners.,"University of California, Riverside",
"Los Angeles, California, United States",Vice President Of Product Management at Apple,Senior Product Manager at Amazon Web Services (AWS),"University of California, Los Angeles","Business Administration and Management, General","University of California, Riverside",
"Irvine, California, United States",Vice President of Financial Reporting at Pacific Hospitality Group,Corporate Director of Finance and Payroll at Pacific Hospitality Group,2002–2005,Fashion Design,"University of California, Riverside",
"Corona, California, United States",Manufacturing Engineering Manager at Glenair,Senior Technical Staff at Glenair,2001–2006,Mechanical Engineering,"University of California, Riverside",
"Irvine, California, United States",Marketing Coordinator at General Technologies and Solutions (GTS),Marketing Coordinator at Brookfield Residential,"University of California, Riverside","Business Administration, Marketing Concentration","University of California, Riverside",
500+ connections,Senior Real Estate Associate at McMonigle Group,Realtor® DBA Real Estate by Rana at CENTURY 21 Award,"University of California, Riverside",International Business,"University of California, Riverside",
"Torrance, California, United States","Director of Engineering & Manufacturing at Black Gold Pump & Supply, Inc.","Senior Mechanical Engineer at Black Gold Pump & Supply, Inc.","University of California, Riverside",Mechanical Engineering,"University of California, Riverside",
433 connections,"Interim Director, Student Housing at UC Irvine",Education and Events Co-Chair at California Diversity Council,2020–2024,Educational Leadership and Administration,"University of California, Riverside",
"San Francisco, California, United States",Senior Consultant/Leadership Coach at Activate Inclusion,"Senior Director, People and Organization Development at Genentech",London Business School,"Strategy, Innovation, and Leadership","University of California, Riverside",
United Arab Emirates,"Director of Design, Middle East & Turkey at Hilton","Director of Design, Eastern Europe at Hilton",1998–2000,Project Management,"University of California, Riverside",
500+ connections,"Senior Manager, Talent Acquisition Business Partner at Q CELLS USA Corp.","HR Business Partner, Talent Acquisition at Edison Energy, LLC",2005–2009,Business Administration,"University of California, Riverside",
"Orange County, California, United States","VP, Domestic Sales Operations at ZO Skin Health, Inc.","Executive Director of Sales Operations at ZO Skin Health, Inc.","University of California, Riverside",Business Administration,"University of California, Riverside",
"Morristown, New Jersey, United States","Director, Specialty Data Management & Analytics at Regeneron Pharmaceuticals, Inc.","Associate Director, Network Analytics at Regeneron Pharmaceuticals, Inc.","University of California, Riverside",Double Major: Biochemistry and Biology,"University of California, Riverside",
"Los Angeles, California, United States","Sr. Product Marketing Manager, Enablement at Kareo",Product Marketing Manager at EZ Texting,"University of California, Riverside",Business Economics,"University of California, Riverside",
500+ connections,Revenue Operations Analyst II at Human Interest,Revenue Operations Analyst I at Human Interest,"University of California, Riverside","Economics, Finance, & Applied Statistics","University of California, Riverside",
"Corona, California, United States",Sr. Director of Revenue Technology at Colossus,Director of Revenue Technology at Dvinci Energy (Dvinci.co),"University of California, Riverside",Mechanical Engineering,"University of California, Riverside",
"Newport Beach, California, United States","Founder, Chairman & CEO at Sub-Four Capital",Founder & Chief Passion Officer at ING3NIOUS,"University of California, Riverside",Sociology,"University of California, Riverside",
"San Diego County, California, United States",Sourcing/Recruiting Manager at Rivian,Sourcing Manager at Tesla,"University of California, Riverside",English,"University of California, Riverside",
458 connections,Senior Accountant at Minerva Project,Staff Accountant at Highwire PR,"University of California, Riverside",,"University of California, Riverside",
Greater Sacramento,COO at Conquer,,Golden Gate University,Business Management,"University of California, Riverside",
Los Angeles Metropolitan Area,Chief Technology Officer at Zuub,"Senior Software Engineer at Futuredontics, Inc.",California State University-Long Beach,Computer Science,"University of California, Riverside",
"San Diego, California, United States",Chief Technology Officer at ViaTouch Media,Director of Software Engineering at ViaTouch Media,"University of California, Riverside",,"University of California, Riverside",
"New York, New York, United States",VP of Technology at Digilant,Director of Engineering & Machine Learning at Digilant,"University of California, Riverside",Computer Science,"University of California, Riverside",
"Westlake Village, California, United States","CEO/President at Katana Software, Inc.",,University of Southern California,Systems Management,"University of California, Riverside",
"Waxhaw, North Carolina, United States","Managing Director at Sun West Mortgage Company, Inc.","VP Market Leader at Cardinal Financial Company, Limited Partnership",1979–1982,Admin Studies-Political Science,"University of California, Riverside",
"Corona, California, United States","CEO, Co-Founder at MasterStream ERP","CEO, Co-Founder at TruChoice Communications",California State University-Fullerton,"Business Administration and Management, General","University of California, Riverside",
San Francisco Bay Area,Head of Data Pipeline | ML | Leader | Manager @ Amazon Stealth Products  | Data Engineering at Amazon,Director Product Program Management at Planet,"University of California, Los Angeles - The Anderson School of Management",Marketing,"University of California, Riverside",
Greater Chicago Area,Senior Product Manager - Machine Learning at Clearcover,"Senior Data Science Product Manager at Blue Cross and Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas","University of California, Riverside","Physiology, General","University of California, Riverside",
"San Diego County, California, United States","Vice President, Strategy and Business Development at Nanoscope Therapeutics Inc.","Director of Strategy, Search and Evaluation (Genomics, Gene and Cell Therapy) at GE Healthcare","University of California, Irvine",Cell Biology (Cellular Biophotonics),"University of California, Riverside",
"Las Vegas, Nevada, United States","Managing Director / CEO at Executive Option, LLC",Board Member at Guardian Angel Network,Education (same page),Business Adminiatration,"University of California, Riverside",
Greater Munster Area,Managing Director | GTT International B.V. at GTT Greiwing Truck and Trailer GmbH & Co. KG,CEO at dispatchy.me,FH Münster,International Management,"University of California, Riverside",
"Milan, Lombardy, Italy",GLOBAL MERCHANDISING & MARKETING MANAGER | BUSINESS DEVELOPMENT MANAGER - FINE JEWELRY | JEWELLERY at Guess Europe Sagl,HEAD OF MARKETING & TRADE MARKETING | DIGITAL COMMUNICATION | Watches & Jewelry  at Tendence SA,"University of California, Riverside",Public Speaking & Communication,"University of California, Riverside",
"Orange County, California, United States",Founder and CEO at AUTOsist,"Senior Biopharmaceutical Representative, Cardiovascular Division at Amgen","Pepperdine University, The George L. Graziadio School of Business and Management",Marketing,"University of California, Riverside",
"Orange County, California, United States",Co-Founder at After Offers LLC,Police Officer at LAPD,"University of California, Riverside",Political Science and Economics,"University of California, Riverside",
"Orange County, California, United States",Digital Buyer (.Com & Marketplace) at 5.11 Tactical,Ecommerce Buyer  at Boardriders,"University of California, Riverside",International/Global Studies,"University of California, Riverside",
"Baltimore, Maryland, United States","Executive Vice President, New Strategy Department at Shimadzu Scientific Instruments","Vice President, Marketing at Shimadzu Scientific Instruments",The Johns Hopkins University School of Medicine,"Clinical Chemistry, Biomarker Discovery","University of California, Riverside",
"Orange County, California, United States","Chief Technology Officer at Sonendo®, Inc.",,2005–2008,Mechanical Engineering,"University of California, Riverside",
United Arab Emirates,Co-Founder & CEO  at Zbooni,Venture Partner at Middle East Venture Partners (MEVP),"University of California, Riverside",Business Administration,"University of California, Riverside",
"New York, New York, United States",Senior Director of Music & Brand Partnerships at Roc Nation,Director of Brand Partnerships at EMPIRE - Recordings | Distribution | Publishing,"University of California, Riverside",Public Policy (Health & Urban Policy),"University of California, Riverside",
Los Angeles Metropolitan Area,Chief Operating Officer at JC Ford Company,"Executive Vice President (EVP) Operations – East Asia (China, Japan, Korea) at Samvardhana Motherson Reflectec (SMR)",University of Michigan - Rackham Graduate School,Electrical Engineering,"University of California, Riverside",
"Riverside, California, United States",Chief Operating Officer at Kingdom One,Chief Human Resources Officer at Kingdom One,"University of California, Riverside",Psychology,"University of California, Riverside",
"Hyderabad, Telangana, India",Founder at Hocomoco,Business Analyst at Sabre Corporation,"University of California, Riverside","Business, Management, Marketing, and Related Support Services","University of California, Riverside",
"Irvine, California, United States",Digital Marketing Manager at Arcules,Senior Paid Search Manager at Media Assembly,"University of California, Riverside",,"University of California, Riverside",
"Orange County, California, United States","Manager, Consumer Insights  at The Walt Disney Company",Consumer Insights Manager at The Walt Disney Company,UC Irvine,Demographic and Social Analysis,"University of California, Riverside",
Los Angeles Metropolitan Area,Senior Mechanical Engineer at Safran,Senior Mechanical Engineer at Collins Aerospace,"University of California, Riverside",Mechanical Engineering,"University of California, Riverside",
San Francisco Bay Area,Director of Employer Relations at Undergraduate Business Association of UCR,Customer Experience Intern at Umba,"University of California, Riverside",Marketing,"University of California, Riverside",
"Santa Monica, California, United States",Sr. Growth Product Manager  at PayPal,Growth Product Manager at EZ Texting,"University of California, Riverside",Business Economics,"University of California, Riverside",
Los Angeles Metropolitan Area,Research Manager at LRW,Research Associate at LRW,"University of California, Riverside","Business - Marketing, cum laude","University of California, Riverside",
"Orange County, California, United States","Channel Partner Executive, Communications & Payment Solutions at Change Healthcare",Sales & Account Executive at O'Neil Digital Solutions,"University of California, Riverside",Psychology & Sociology,"University of California, Riverside",
"San Francisco, California, United States",Senior Director at Hamilton Zanze,Acquisition Analyst Intern at The Pollin Group,University of San Diego,Real Estate,"University of California, Riverside",
500+ connections,Senior Client Success Specialist - Mid Market at Indeed.com,Client Success - Mid Market at Indeed.com,"University of California, Riverside",Marketing and Information Systems,"University of California, Riverside",
"Chicago, Illinois, United States","Director and Division Administrator, Neurosurgery at Ann & Robert H. Lurie Children's Hospital of Chicago",Performance Improvement Consultant at Ann & Robert H. Lurie Children's Hospital of Chicago,University of Minnesota-Twin Cities,Chemistry,"University of California, Riverside",
"Los Angeles, California, United States","Senior Manager, Integrated Media Strategy at HBO Max at WarnerMedia","Manager, Integrated Media Strategy at HBO Max at WarnerMedia","University of California, Riverside",,"University of California, Riverside",
"Ladera Ranch, California, United States","Vice President, Market Access at Coherus BioSciences","Vice President, Market Access & HEOR at The Kinetix Group",University of Southern California School of Pharmacy,Cell & Neurobiology,"University of California, Riverside",
500+ connections,Financial Analyst II at UC Irvine,Financial Operations Intern at City of Moreno Valley,"University of California, Riverside","Business Administration, Finance","University of California, Riverside",
"Santa Monica, California, United States",Insurance Agent at State Farm ®,Enterprise Account Executive at IntelePeer,"University of California, Riverside",Anthropology,"University of California, Riverside",
"San Francisco, California, United States",Executive Producer - Host at Startup Mindsets Podcast,Venture Capital Investment Analyst at VU Venture Partners,"University of California, Riverside",English Language and Literature,"University of California, Riverside",
"Inglewood, California, United States","Manager, Community Engagement and Social Impact at HOPICS","Program Manager, Intensive Case Management Services at HOPICS",University of Southern California,Community Organization and Advocacy,"University of California, Riverside",
"San Jose, California, United States",,Marketing Data Analyst at Chegg Inc.,University of Maryland - Robert H. Smith School of Business,Business Analytics,"University of California, Riverside",
San Francisco Bay Area,AVP/Vice President of Content Creation Products and Services at Autodesk,"VP, SVP Global Product Management at Prime Focus Technologies","University of California, Riverside",Theatre/Theater,"University of California, Riverside",
San Francisco Bay Area,"Sr Manager, Machine Learning - Advertising Technology at Walmart Global Tech",Senior Research Scientist - Computational Advertising at Yahoo,University of Pennsylvania,Computer and Information Technology,"University of California, Riverside",
United States,Sales at Crunchbase,Business Development - Company Insights at Blind,"University of California, Riverside",Business Administration - Information Systems,"University of California, Riverside",
"Orange County, California, United States","Talent Professional, Corporate Functions at Activision Blizzard",Regional Recruiter at Prosegur,"University of California, Riverside",Psychology,"University of California, Riverside",
San Francisco Bay Area,"Senior Manager, Technical Recruiting at Udemy",Talent Acquistion Manager at PayPal,1985–1989,Art History and English,"University of California, Riverside",
500+ connections,Managing Recruiter  at Thrive Recruitment Agency,Lead Technical Recruiter at CyberCoders,"University of California, Riverside",Neuroscience,"University of California, Riverside",
Las Vegas Metropolitan Area,Sales Development Representative at Circle,Strategic Business Development Executive at boost.ai,"University of California, Riverside",Psychology,"University of California, Riverside",
"Orange County, California, United States",Talent Acquisition Business Partner at Cue Health,Senior Talent Acquisition Specialist at Cue Health Inc.,2019–2021,Human Resources Management,"University of California, Riverside",
"New York, New York, United States","Managing Director, co-Head Real Estate & Lodging at Oberon Securities","Board Member, Chairman, interim-CEO at FullStack Modular",New York University,Real Estate Finance & Investment,"University of California, Riverside",
500+ connections,,"UX/UI Designer at Standard Care, Inc.",Springboard,"UI/UX Design Career Track, Certification","University of California, Riverside",
"Grand Terrace, California, United States",Supply Chain Planning Manager at Niagara Bottling,Associate Manager of Business Optimization  at Niagara Bottling,"University of California, Riverside - A. Gary Anderson Graduate School of Management","Logistics, Materials, and Supply Chain Management","University of California, Riverside",
"Glendora, California, United States","Chief Executive Officer at Affinity Group, Sales & Marketing Agency",Regional President at Affinity West,"University of California, Riverside",,"University of California, Riverside",
"Orange County, California, United States",Cofounder at SendGrid,"Developer at IER Solutions, Inc","University of California, Riverside",Computer Engineering,"University of California, Riverside",
"Delhi, India",Chief Executive Officer (CEO) at National Health Authority (NHA),Retired  Member of Indian Administrative Service at Freelance,"Indian Institute of Technology, Delhi",Management and Public Policy,"University of California, Riverside",
"Irvine, California, United States",Founder/CEO at Alcazar Tech,Owner at RE/MAX Enterprise,"University of California, Riverside",Computer Science,"University of California, Riverside",
"Stanford, California, United States","CTO, Co-Founder, Visionary at ZaiNar, Inc.",Member (Class XVIII) at Alchemist Accelerator,Stanford University,Applied Physics,"University of California, Riverside",
"Los Angeles, California, United States","Chief Executive Officer at DT Design, Inc.",Project Manager at Design Tech Inc.,"University of California, Riverside","Business, Management, Marketing, and Related Support Services","University of California, Riverside",
"Tulsa, Oklahoma, United States",Chief Executive Officer at Tulsa Family Psychiatry & Wellness,President at EASTERN OKLAHOMA MEDICAL GROUP MANAGEMENT ASSOCIATION INC,Oklahoma State University Center for Health Sciences,Hospital and Health Care Facilities Administration/Management,"University of California, Riverside",
"Shanghai, China",Digital Manager at INTERSPORT Group,Digital Marketing Manager (Performance) at Mailman,California State University-San Bernardino,Tourism Management,"University of California, Riverside",
"Costa Mesa, California, United States",Senior Growth Manager at INSERT NAME HERE,Growth Manager at Love Wellness,"University of California, Riverside",Sociology Administrative Studies– Concentrating on Management Information Systems,"University of California, Riverside",
Los Angeles Metropolitan Area,Snr Director-Information Security (CISO) at International Vitamin Corporation,Director Information Security at Apria Healthcare,2007–2009,Business Administration,"University of California, Riverside",
Los Angeles Metropolitan Area,Digital Marketing Manager at Pressed,West Coast Field Marketing Manager at Pressed Juicery,"University of California, Riverside",Political Science and Administrative Studies Concentration in Marketing,"University of California, Riverside",
"Riverside, California, United States",Chief Operations Officer at Chase Mortgage Trust,IT Supervisor of EDI at IEHP,UCR,Microsoft Certified Solution Developers (MCSD),"University of California, Riverside",
"San Ramon, California, United States","Product Management at X, the moonshot factory","Vice President, Product Management at Standard Industries",University of Southern California - Marshall School of Business,Management Development Program,"University of California, Riverside",
"Santa Ana, California, United States",CTO at Kodella,"Global Director, Product Owners at Kodella",UC Riverside,Computer Engineering,"University of California, Riverside",
"Long Beach, California, United States",Chief Marketing Officer at DIV13,Director of Process Engineering at G/M Business Interiors,University of San Diego School of Business Administration,Mechanical Engineering,"University of California, Riverside",
"Houston, Texas, United States","Senior IT Architect - Supply Chain at Par Pacific Holdings, Inc.",Supply Chain Business Analyst at Murphy Oil,1995–1997,Business and Information System,"University of California, Riverside",
Greater Paris Metropolitan Region,Chief Operating Officer at JB Prod,Chef de projet événementiel luxe at JB Prod,Sup de Pub - Groupe INSEEC,Marketing événementiel et communication culturelle,"University of California, Riverside",
Greater Chicago Area,Marketing Director at Kidas,"Director,  Product Marketing & Commercialization at Power Kiosk",Northwestern University,Integrated Marketing Communications,"University of California, Riverside",
500+ connections,Operations Manager at NFI,Operations Manager at Radial Inc.,"University of California, Riverside","Business Administration, Management and Operations","University of California, Riverside",
500+ connections,"Associate Marketing Manager at Shutterfly, Inc.","Mobile Marketing Specialist - Push at Shutterfly, Inc.","University of California, Riverside",Business Administration,"University of California, Riverside",
"Newport Beach, California, United States",Executive Vice President at Accely,Account Executive at IDHASOFT,"University of California, Riverside",Business Administration,"University of California, Riverside",
"Las Vegas, Nevada, United States",Renhead Co-Founder and CEO at Renhead,"VP, Head of Recruiting, Private Banking Group at Morgan Stanley","University of California, Riverside",English Literature,"University of California, Riverside",
"Los Angeles, California, United States",Scientific Writer at SIMPSON Healthcare,"Senior Scientist at Capricor Therapeutics, Inc.",Sanford Burnham Prebys Medical Discovery Institute,Molecular Medicine,"University of California, Riverside",
"Portland, Oregon, United States",CEO and President  at Northwest Permanente,"VP of quality, care experience, and patient safety at Northwest Permanente P.C.",Harvard Business School,Medicine,"University of California, Riverside",
"Agoura Hills, California, United States",COO at stealth Web3 Startup,Adjunct Professor - Management & Organization at University of Southern California - Marshall School of Business,University of Southern California - Marshall School of Business,Strategy/Finance/Entrepreneurship,"University of California, Riverside",
"Fort Lauderdale, Florida, United States",Executive Vice President & CFO - Florida/Caribbean at Right Management,Senior Vice President - Controller in Florida/Caribbean at Right Management,Florida Atlantic University,Business Economics,"University of California, Riverside",
"Costa Mesa, California, United States",Ecommerce Project Coordinator at LSPACE by Monica Wise,Ecommerce Coordinator at Apria Healthcare,"University of California, Riverside",Public Policy,"University of California, Riverside",
"River Forest, Illinois, United States",President at Dominican University,President at Viterbo University,University of Minnesota-Twin Cities,Educational Policy and Administration (Higher Education),"University of California, Riverside",
"Los Angeles, California, United States","Co-Founder, CEO at Stealth Startup",Branding & Marketing - Amazon Pets at Amazon,ESSEC Business School,Finance / Marketing,"University of California, Riverside",
Denver Metropolitan Area,Vice President Of Development at STRIDE Community Health Center,Director of Communications at STRIDE Community Health Center,Rutgers University,Counseling Psychology,"University of California, Riverside",
"Culver City, California, United States",Senior Human Resources Manager at inMarket,Director of People Operations at AUDIENCEX,"University of California, Riverside",Accounting,"University of California, Riverside",
"Irvine, California, United States",Software Test Manager at Cue Health,Manager Software Engineering at Edwards Lifesciences,"University of California, Riverside",Computer Science,"University of California, Riverside",
San Francisco Bay Area,Sr. Staff Research Scientist at Rivian,Research Scientist at Stealth Startup,"University of California, San Diego",Mathematics,"University of California, Riverside",
"San Diego, California, United States",VP Marketing at WAXIE Sanitary Supply,General Manager at WAXIE Sanitary Supply,Cal State University San Bernardino,,"University of California, Riverside",
Los Angeles Metropolitan Area,Adjunct Faculty at Alliant International University,Sr. Commerce Analyst at BVA,DePaul University,Sociology,"University of California, Riverside",
"Riverside, California, United States",CEO and Owner at Acorn Technology Services,Vice President of Sales and IT Services at Acorn Technology,"University of California, Riverside - A. Gary Anderson Graduate School of Management",Entrepreneurship/Entrepreneurial Studies,"University of California, Riverside",
"Atlanta, Georgia, United States",Direct Strategy & Analytics at Chick-fil-A Corporate,Sr. GIS Manager at Chick-fil-A Corporate,UCLA,East Asian Studies,"University of California, Riverside",
Washington DC-Baltimore Area,"CEO & Co-Founder at Create&, Launching Big Ideas",National Manager at American Association of State Colleges and Universities -- The Democracy Commitment,American University - Kogod School of Business,"Business Administration, Management and Operations","University of California, Riverside",
"Huntington Beach, California, United States",Vice President Digital Marketing and Business Development Solutions at International Code Council,"Vice President, Marketing at International Code Council",1993–1995,Marketing and Accounting,"University of California, Riverside",
"San Diego, California, United States",Vice President of Strategic Development at Shanghai Freemen,Director of Business Development - Western Region at Shanghai Freemen,"University of California, Riverside",Business Finance,"University of California, Riverside",
"Pasadena, California, United States","Principal/Partner at Garrett & Tully, P.C.",Associate at Lewis Brisbois Bisgaard & Smith LLP,Pepperdine University School of Law,Political Science / Law and Society,"University of California, Riverside",
Greater Birmingham Area,Plant Manager at NA Operation / Manufacturing / AL Division,Plant Manufacturing Superintendent at Operations Management,"University of California, Riverside","Studied Business Management, General","University of California, Riverside",
"Tokyo, Tokyo, Japan",Finance Manager at Vpon,Assistant Accounting Manager at CEVA Logistics,1999–2003,,"University of California, Riverside",
"San Diego, California, United States",Director of Product Management at Cordial Inc.,"Principal Product Manager, Platform, Tools & Engineering at Intuit","University of California, Riverside",Business Administration,"University of California, Riverside",
Las Vegas Metropolitan Area,"Vice President, Business Development at American Estate & Trust",Director Of Business Development at American Estate & Trust,"University of California, Riverside","Business, Management, Marketing, and Related Support Services","University of California, Riverside",
"South Jordan, Utah, United States",Vice President Of Product Management at Momentive-AI (formerly SurveyMonkey),Group Manager Product Management  at Adobe,2009–2011,Social Psychology and Evaluation,"University of California, Riverside",
500+ connections,"Associate Director, Connected Commerce at PHD","Associate Director, Paid Media at Edelman DXI","University of California, Riverside","B.S., Business Administration with concentration in Marketing","University of California, Riverside",
"San Jose, California, United States","Senior Manager, Process & Yield - Battery Manufacturing at QuantumScape","Manager, Global Product Marketing - Dielectric Deposition Products at Applied Materials",Cornell University,Engineering Leadership & Management,"University of California, Riverside",
"Danville, California, United States","Senior Manager, Product Security at Snowflake","Senior Director, Product Security at Splunk",2002–2005,Information Systems,"University of California, Riverside",
"Orange County, California, United States","Director, Managed Markets and Trade at Amicus Therapeutics","Director, National Accounts - Market Access at Coherus BioSciences","University of California, Riverside",,"University of California, Riverside",
"Irvine, California, United States",Digital Marketing Strategist at Postclick,"Digital Marketing Consultant at Freelance, self-employed","University of California, Riverside",English,"University of California, Riverside",
"Tulsa, Oklahoma, United States","Head of Banking Industry, Americas at ServiceNow","Global Markets, Commercial Banking AE Specialist Salesforce at Salesforce",San Jose State University,Business Administration,"University of California, Riverside",
"San Carlos, California, United States","Director, Strategic Alliances  at Quantum",Director of Strategic Alliances  at Snowflake,1987–1991,Business Adminstration,"University of California, Riverside",
500+ connections,Human Resources Coordinator at Munchkin,People Operations Coordinator at Scopely,"University of California, Riverside",Sociology,"University of California, Riverside",
