current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
United States,Vice President - National Sales & Strategic Partnerships at LHH,Sr. Sales Director - National Accounts at LHH,"University of California, Riverside",Finance/Accounting,"University of California, Riverside",LHH,LHH,622110 Osteopathic hospitals,622110 Osteopathic hospitals,62,62,Health Care and Social Assistance,76373.049,Health Care and Social Assistance,39.78373,-100.445882,,,,nan
,Laboratory Manager at Juul Labs,Procurement Administrator at Newegg,"University of California, Riverside",Business Administration and Management Information Systems,"University of California, Riverside",Juul Labs,Newegg,"339999 Wreaths, artificial, manufacturing",443142 Video tape stores,31-33,44-45,Manufacturing,69174.562,Retail Trade,,,,,,nan
"San Diego, California, United States","Sr. Manager, Product Compliance & Sustainability at Dexcom","Senior Quality Engineer at pSemi, A Murata Company","University of California, Riverside",Chemical Engineering,"University of California, Riverside",Dexcom,"pSemi, A Murata Company",339112 Veterinarians' instruments and apparatus manufacturing,,31-33,,Manufacturing,69174.562,,32.71742,-117.162773,California,San Diego,San Diego,06073
,Healthcare Recruiter and People Coordinator at Accel Therapies,HR Assistant at Kona Inn,"University of California, Riverside",Psychology,"University of California, Riverside",Accel Therapies,Kona Inn,"621498 Sleep disorder centers and clinics, outpatient",,62,,Health Care and Social Assistance,76373.049,,,,,,,nan
San Francisco Bay ,Director: Program Management and Portfolio Strategy at Applied Molecular Transport,Associate Director Project Management at Applied Molecular Transport,"University of California, Berkeley, Haas School of Business",Analytical Chemistry,"University of California, Riverside",Applied Molecular Transport,Applied Molecular Transport,541714,541714,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",37.714029,-122.307794,California,San Mateo,,06081
"Washington,  of Columbia, United States",Director / Event Security Specialist at National Basketball Association (NBA),Special Agent in Charge / Special Advisor to the CSO / Resident Agent in Charge / Special Agent at United States Secret Service,"Arizona State University, Tempe, AZ",Emergency Management and Homeland Security,"University of California, Riverside",National Basketball Association (NBA),United States Secret Service,,"922190 Public safety statistics centers, government",,92,,,,38.895037,-77.036543,District of Columbia,,Washington,nan
"Tokyo, Tokyo, Japan","Project Manager at Monstarlab, Inc.",Scrum Master at Tata Consultancy Services,Meiji Gakuin University,International Studies,"University of California, Riverside","Monstarlab, Inc.",Tata Consultancy Services,541611 Strategic planning consulting services,551112 Public utility holding companies,54,55,"Professional, Scientific, and Technical Services",77645.346,Management of Companies and Enterprises,35.681091,139.767186,,,千代田区,nan
San Francisco Bay ,Chief Philanthropy Officer at Catholic Charities SF,"Vice President, Development at Goodwill Industry","University of California, Riverside",Political Science,"University of California, Riverside",Catholic Charities SF,Goodwill Industry,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
"Irvine, California, United States",UX Writer / User Assistance Developer at SAP,Technical Writer at B. Braun Medical Inc. (US),"University of California, Riverside",Sociology/Law and Society,"University of California, Riverside",SAP,B. Braun Medical Inc. (US),811212 Typewriter repair and maintenance services,,81,,Other Services (except Public Administration),57824.628,,33.685697,-117.825982,California,Orange,Irvine,06059
"New York, New York, United States",Data Engineer at McKinsey & Company,Senior Applications Consultant at Capgemini,"University of California, Riverside",Political Science,"University of California, Riverside",McKinsey & Company,Capgemini,541611 Strategic planning consulting services,"541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",40.712728,-74.006015,New York,,New York,36061
"Irvine, California, United States","Director, Program Management at Edwards Lifesciences","Senior Manager, Program Management at Edwards Lifesciences",1987–1991,Business Administration,"University of California, Riverside",Edwards Lifesciences,Edwards Lifesciences,"339113 Whirlpool baths (i.e., hydrotherapy equipment) manufacturing","339113 Whirlpool baths (i.e., hydrotherapy equipment) manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,33.685697,-117.825982,California,Orange,Irvine,06059
"Barcelona, Catalonia, Spain",European HR&ADM Manager at IGG,North America HR Career Advisor at Accenture,ESIC Business & Marketing School,Direccion de RRHH por competencias/ HR Competencies,"University of California, Riverside",IGG,Accenture,551112 Public utility holding companies,541330 Traffic engineering consulting services,55,54,Management of Companies and Enterprises,82055.219,"Professional, Scientific, and Technical Services",41.382894,2.177432,Catalunya,Barcelonès,Barcelona,nan
"Irvine, California, United States",,Behavior Interventionist at Irvine Unified School District,2020–2020,UX/UI Design,"University of California, Riverside",,Irvine Unified School District,,,,,,,,33.685697,-117.825982,California,Orange,Irvine,06059
"Riverside, California, United States",Digital Sales Enablement Team Lead - Sales Development  at Esri,Digital Sales - Global Business Development at Esri,Stevens Institute of Technology,Business Intelligence & Analytics,"University of California, Riverside",Esri,Esri,"541512 Systems integration design services, computer","541512 Systems integration design services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",33.945941,-117.410244,California,Riverside,Riverside,06065
,,Clinical Laboratory Operations at Invitae,"University of California, Riverside","Biology, General","University of California, Riverside",,Invitae,,621511 Urinalysis laboratories,,62,,,Health Care and Social Assistance,,,,,,nan
,Trade and Insights Analyst at Bitchin'​ Sauce,"Dashboard Data Specialist at University of California, Riverside","University of California, Riverside",Finance,"University of California, Riverside",Bitchin'​ Sauce,"University of California, Riverside",311942 Table salt manufacturing,"923110 University regents or boards, government",31-33,92,Manufacturing,69174.562,,,,,,,nan
"San Francisco, California, United States",Partner at Tensegrity Law Group,Special Counsel at Tensegrity Law Group,UC Berkeley,Law,"University of California, Riverside",Tensegrity Law Group,Tensegrity Law Group,,,,,,,,37.779026,-122.419906,California,,San Francisco,06075
"Riverside, California, United States",Broker/Realtor SFR at eXp Realty,"Realtor,CDPE,SFR at Carrington Real Estate Services","University of California, Riverside",Music Theory and Composition,"University of California, Riverside",eXp Realty,Carrington Real Estate Services,"531210 Selling real estate for others (i.e., agents, brokers)",522390 Travelers' check issuance services,53,52,Real Estate and Rental and Leasing,60268.137,Finance and Insurance,33.945941,-117.410244,California,Riverside,Riverside,06065
"Corona, California, United States","Business Broker, M&A Intermediary, Franchises at NAI Capital",,"University of California, Riverside","Management General, Finance, Management in Information technology","University of California, Riverside",NAI Capital,,"531210 Selling real estate for others (i.e., agents, brokers)",,53,,Real Estate and Rental and Leasing,60268.137,,33.875294,-117.566445,California,Riverside,Corona,06065
"Sunnyvale, California, United States","Documentation, Developer Operation Policy - Launch & Readiness Pillar at Facebook",Marketing Manager at Taelor,National Chengchi University,Ethnology,"University of California, Riverside",Facebook,Taelor,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,37.36883,-122.036349,California,Santa Clara,Sunnyvale,06085
Los Angeles  ,Safety Manager at Panda Restaurant Group,Senior Risk Analyst at Panda Restaurant Group,Pasadena City College,Legal Assistant/Paralegal,"University of California, Riverside",Panda Restaurant Group,Panda Restaurant Group,722513 Take out eating places,722513 Take out eating places,72,72,Accommodation and Food Services,44945.819,Accommodation and Food Services,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,Instructional Designer (Organizational Development) at Living Spaces Furniture,Instructional Designer (Supply Chain Solutions) at Niagara Bottling,"University of California, Riverside",English Language and Literature,"University of California, Riverside",Living Spaces Furniture,Niagara Bottling,423210 Theater seats merchant wholesalers,"312112 Water, naturally carbonated, purifying and bottling",42,31-33,Wholesale Trade,68623.359,Manufacturing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
San Francisco Bay ,,Director of Employer Relations at Undergraduate Business Association of UCR,COOP Apprentice,Finance (Bus Admin),"University of California, Riverside",,Undergraduate Business Association of UCR,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
"Los Angeles, California, United States",Book Editor & Writing Consultant at N.HARV,Teaching Assistant at Compton College,California State University-Dominguez Hills,Sociology,"University of California, Riverside",N.HARV,Compton College,,"611110 Seminaries, below university grade",,61,,,Educational Services,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Amsterdam ,General Counsel at Irdeto,Deputy General Counsel at Irdeto,1998–2002,Computer Science,"University of California, Riverside",Irdeto,Irdeto,999990,999990,99,99,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",69671.738,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",52.37276,4.893604,Noord-Holland,,Amsterdam,nan
Los Angeles  ,Trial Lawyer at Law Offices Of Vincent W Davis And Associates,"Trial Lawyer at Clark & Le, LLP","University of California, Riverside",Political Science Law and Society,"University of California, Riverside",Law Offices Of Vincent W Davis And Associates,"Clark & Le, LLP",,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
 Seattle ,"Senior Inclusion, Diversity, & Equity Program Manager, Business & Corp Dev at Amazon","Executive Sponsorships Program Manager, Startups/Digital Natives at Amazon Web Services (AWS)",California State University-Fullerton - College of Business and Economics,Business Administration,"University of California, Riverside",Amazon,Amazon Web Services (AWS),454110,,44-45,,Retail Trade,56013.266,,47.603832,-122.330062,Washington,King,Seattle,53033
"South San Francisco, California, United States","Founder and CEO at Strata Consulting, LLC",Network and Security Consultant at C2 Company,1994–1998,Electrical Engineering and Computational Mathematics,"University of California, Riverside","Strata Consulting, LLC",C2 Company,,,,,,,,37.65354,-122.416866,California,San Mateo,South San Francisco,06081
"Carmel, Indiana, United States",CEO at Ascent-Hospitality.com,,"University of California, Riverside",,"University of California, Riverside",Ascent-Hospitality.com,,,,,,,,,39.978802,-86.118926,Indiana,Hamilton,,18057
 Reno ,CEO at Fast Company,"Partition overseer, Project Coordinator Nevada former RBC at Volunteer work RBC and LDC","West Covina High School University of California San Diego, Riverside",,"University of California, Riverside",Fast Company,Volunteer work RBC and LDC,624210 Soup kitchens,,62,,Health Care and Social Assistance,76373.049,,39.526121,-119.812658,Nevada,Washoe,Reno,32031
"Temecula, California, United States",C.O.O. at Artificial Grass Liquidators,Vice President at Artificial Grass Liquidators,"University of California, Riverside",Business Administration,"University of California, Riverside",Artificial Grass Liquidators,Artificial Grass Liquidators,,,,,,,,33.494635,-117.147366,California,Riverside,Temecula,06065
Los Angeles  ,"IT Leader - Digital Workplace, Collaboration, Unified Communications at Esri","Manager, IT Systems & Unified Communications at Esri",University of Massachusetts at Amherst - Isenberg School of Management,Business Administration,"University of California, Riverside",Esri,Esri,"541512 Systems integration design services, computer","541512 Systems integration design services, computer",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Whittier, California, United States",CEO/President/Founder at Contreras-Chavarria Inc.,Human Resources Consultant at Kaiser Permanente,University of Southern California,English/Language Arts Teacher Education,"University of California, Riverside",Contreras-Chavarria Inc.,Kaiser Permanente,,524114 Medical service plans without providing health care services,,52,,,Finance and Insurance,33.970878,-118.03084,California,Los Angeles,,06037
Los Angeles  ,Head Of Information Technology at Motorenn,Vice President Of Technology at KUL INC.,"University of California, Riverside",Computer Science,"University of California, Riverside",Motorenn,KUL INC.,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"San Diego County, California, United States",Digital Marketing Manager at Thermo Fisher Scientific,"Digital Marketing Manager at Zingle, a Medallia Company",+ 1 more,Psychology,"University of California, Riverside",Thermo Fisher Scientific,"Zingle, a Medallia Company",335999 UPS (uninterruptible power supplies) manufacturing,,31-33,,Manufacturing,69174.562,,32.963784,-116.770628,California,San Diego,,06073
"Goleta, California, United States",Director of Engineering at zyBooks,Senior Software Engineer at zyBooks,"University of California, Riverside",Computer Science,"University of California, Riverside",zyBooks,zyBooks,,,,,,,,34.43583,-119.827639,California,Santa Barbara,,06083
"San Diego County, California, United States",Chief Executive Officer - SDI Management at San Diego Imaging Medical Group,"VP, Finance and Business Operations at San Diego Imaging Medical Group",The George Washington University,Healthcare Administration,"University of California, Riverside",San Diego Imaging Medical Group,San Diego Imaging Medical Group,,,,,,,,32.963784,-116.770628,California,San Diego,,06073
San Francisco Bay ,"Chief Operating Officer at Zentient, Inc.",President at Corporate Innovations Group,"University of California, Riverside",Strategic Management,"University of California, Riverside","Zentient, Inc.",Corporate Innovations Group,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
Los Angeles  ,Director of Marketing at Gelson's Markets,"Manager, Music Marketing & Artist Relations at Guitar Center",2003–2007,Business/ Marketing,"University of California, Riverside",Gelson's Markets,Guitar Center,445110 Supermarkets,451140 Sheet music stores,44-45,44-45,Retail Trade,56013.266,Retail Trade,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Kansas City, Kansas, United States",Purchasing Manager at CertainTeed Corporation,Buyer / Planner at Rockwell Collins,Karrass Effective Negotiating Certificate,Negotiating,"University of California, Riverside",CertainTeed Corporation,Rockwell Collins,238310 Wall cavity and attic space insulation installation,"334220 Video camera (except household-type, television broadcast) manufacturing",23,31-33,Construction,64648.972,Manufacturing,39.100105,-94.578142,Missouri,Jackson,Downtown Kansas City,29095
San Francisco Bay ,Marketing Manager at Exponent,Marketing Manager at Carecube,Pepperdine Graziadio Business School,Leadership and Managing Organizational Change,"University of California, Riverside",Exponent,Carecube,541690 Security consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,37.714029,-122.307794,California,San Mateo,,06081
"Yorba Linda, California, United States",Vice President of Marketing at Superior Press - Consolidated Treasury Solutions,"Director, Marketing and eCommerce  at DSA Signage","University of California, Riverside",Psychology,"University of California, Riverside",Superior Press - Consolidated Treasury Solutions,DSA Signage,,,,,,,,33.89011,-117.82497,California,Orange,,06059
"San Diego, California, United States",Founder in Residence at Okta,"Senior CIAM Developer Specialist at Okta, Inc.","University of California, Riverside",Computer Science,"University of California, Riverside",Okta,"Okta, Inc.","541511 Web (i.e., Internet) page design services, custom","541511 Web (i.e., Internet) page design services, custom",54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",32.71742,-117.162773,California,San Diego,San Diego,06073
"San Diego County, California, United States",Director Of Operations at Advantage Ambulance,Paramedic at Lynch Ambulance dba Lynch EMS,Eastern Kentucky University,Emergency Medical Care,"University of California, Riverside",Advantage Ambulance,Lynch Ambulance dba Lynch EMS,,,,,,,,32.963784,-116.770628,California,San Diego,,06073
 Marseille  ,Head of Digital Factory at Crédit Agricole Alpes Provence,Head of transformation & IT developments at Crédit Agricole Alpes Provence,Télécom SudParis,"Système d'Informations Financiers, option Finance","University of California, Riverside",Crédit Agricole Alpes Provence,Crédit Agricole Alpes Provence,522110 State commercial banks,522110 State commercial banks,52,52,Finance and Insurance,80163.492,Finance and Insurance,43.296174,5.369952,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,nan
"Oceanside, California, United States",Director Of Operations at Liberty Military Housing,Regional Property Manager at Lincoln Military Housing,"University of California, Riverside",Interdisciplinary Studies,"University of California, Riverside",Liberty Military Housing,Lincoln Military Housing,,"531210 Selling real estate for others (i.e., agents, brokers)",,53,,,Real Estate and Rental and Leasing,33.19587,-117.379483,California,San Diego,Oceanside,06073
San Francisco Bay ,Executive General Manager at Serramonte Subaru,General Manager at Hayward Mazda,"University of California, Riverside",Marketing,"University of California, Riverside",Serramonte Subaru,Hayward Mazda,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
"Riverside, California, United States",Deputy City Manager at City of Rialto Jobs,Deputy City Manager at City of Palm Springs,California Baptist University,"Business Administration, Management and Operations","University of California, Riverside",City of Rialto Jobs,City of Palm Springs,,"921110 President's office, United States",,92,,,,33.945941,-117.410244,California,Riverside,Riverside,06065
"Pittsburgh, Pennsylvania, United States",Senior Director Of Engineering at Proofpoint,CTO at Govini,2001–2004,Electrical Engineering,"University of California, Riverside",Proofpoint,Govini,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
 Milwaukee,President at AXIS Automation,,"University of California, Riverside",Physics,"University of California, Riverside",AXIS Automation,,423830 Woodworking machinery merchant wholesalers,,42,,Wholesale Trade,68623.359,,43.034993,-87.922497,Wisconsin,Milwaukee,Milwaukee,55079
"Elk Grove, California, United States","Director, Data Curation at Evidation Health","Senior Manager, Data Engineering at Evidation Health","University of California, Riverside",Theoretical and Mathematical Physics,"University of California, Riverside",Evidation Health,Evidation Health,541611 Strategic planning consulting services,541611 Strategic planning consulting services,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",38.408799,-121.371618,California,Sacramento,Elk Grove,06067
"Fort Worth, Texas, United States",Founder and Co-CEO/ Certified Behavioral DISC Analyst/Head of Business Development at MJ Direct Placement Services,"National Operations, Sales and Recruiting Director at Cross Country Healthcare","University of California, Riverside",Business,"University of California, Riverside",MJ Direct Placement Services,Cross Country Healthcare,,561320 Temporary staffing services,,56,,,Administrative and Support and Waste Management and Remediation Services,32.753177,-97.332746,Texas,Tarrant,Fort Worth,48439
Los Angeles  ,General Manager at ACME Cryogenics,Sr. Operations Manager at Meggitt,Harvard Business School Online,Mechanical Engineering,"University of California, Riverside",ACME Cryogenics,Meggitt,332919 Water traps manufacturing,334519 Wind direction indicators manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
,CEO and Product Manager at Artsoft LLC.,Associate Research Scientist at New Jersey Institute of Technology,New Jersey Institute of Technology,Mechanical Engineering,"University of California, Riverside",Artsoft LLC.,New Jersey Institute of Technology,,611310 Universities,,61,,,Educational Services,,,,,,nan
"Chêne-Bougeries, Geneva, Switzerland",Global CIO at COFCO International,Cofco International 2016 to date Responsible for the Information Technology Program – CIO in Latin A at COFCO International,BSP - Business School São Paulo,Business Administration,"University of California, Riverside",COFCO International,COFCO International,"111140 Wheat farming, field and seed production","111140 Wheat farming, field and seed production",11,11,"Agriculture, Forestry, Fishing and Hunting",47880.873,"Agriculture, Forestry, Fishing and Hunting",46.196364,6.185407,Genève,,Chêne-Bougeries,nan
,Associate Buyer at Forever 21,Assistant Buyer at Forever 21,UC Irvine,psychology and social behavior,"University of California, Riverside",Forever 21,Forever 21,"448210 Shoe stores, orthopedic","448210 Shoe stores, orthopedic",44-45,44-45,Retail Trade,56013.266,Retail Trade,,,,,,nan
United States,"Director, Brand Strategy at adidas",Global Digital Innovation & Strategy at adidas,"University of California, Riverside",,"University of California, Riverside",adidas,adidas,"315240 Windbreakers, women's, girls', and infants', cut and sewn from purchased fabric (except apparel contractors)","315240 Windbreakers, women's, girls', and infants', cut and sewn from purchased fabric (except apparel contractors)",31-33,31-33,Manufacturing,69174.562,Manufacturing,39.78373,-100.445882,,,,nan
,CEO/Founder (Full-Time) at Wonsulting,Professional Development Lead/Officer | Early Career Network at Cisco,"University of California, Riverside","Finance, General","University of California, Riverside",Wonsulting,Cisco,,"541512 Systems integration design services, computer",,54,,,"Professional, Scientific, and Technical Services",,,,,,nan
San Francisco Bay ,Sr. Director of Engineering at Coursedog,"Director, Software Application Development at Workday",Divine Mercy University,Psychology,"University of California, Riverside",Coursedog,Workday,"511210 Utility software, computer, packaged",518210 Web hosting,51,51,Information,73855.595,Information,37.714029,-122.307794,California,San Mateo,,06081
"San Diego, California, United States",Founder at Mindset Startup Academy,,"University of California, Riverside","Business Administration, Finance","University of California, Riverside",Mindset Startup Academy,,,,,,,,,32.71742,-117.162773,California,San Diego,San Diego,06073
,Digital Asset Associate at FIGS,Digital Marketing Specialist at PatientPop Inc.,"University of California, Riverside",Communication and Media Studies,"University of California, Riverside",FIGS,PatientPop Inc.,448190 Uniform stores (except athletic),"511210 Utility software, computer, packaged",44-45,51,Retail Trade,56013.266,Information,,,,,,nan
"Corona, California, United States",Chief Information Officer at City of Corona,"Vice President/Chief Information Officer at Honeyville, Inc.","University of California, Riverside",English Literature & Psychology,"University of California, Riverside",City of Corona,"Honeyville, Inc.","921110 President's office, United States",311999 Yeast manufacturing,92,31-33,,,Manufacturing,33.875294,-117.566445,California,Riverside,Corona,06065
"Los Angeles, California, United States","Executive Director, Operations at City of Hope",Director of Clinical Operations at Providence,Johns Hopkins Bloomberg School of Public Health,Healthcare Management & Leadership,"University of California, Riverside",City of Hope,Providence,622110 Osteopathic hospitals,"921110 President's office, United States",62,92,Health Care and Social Assistance,76373.049,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
,"VP, Head of Business Development at Ardius (acquired by Gusto)",Co Lead | Asians @ TriNet at TriNet,"University of California, Riverside",Business/Managerial Economics,"University of California, Riverside",Ardius (acquired by Gusto),TriNet,,561990 Trading stamp redemption services,,56,,,Administrative and Support and Waste Management and Remediation Services,,,,,,nan
"San Diego, California, United States",Business Operations Manager at VL Senior Living,Human Resources Manager at Belmont Village Senior Living,The University of New Mexico - Robert O. Anderson School of Management,"Human Resources Management/Personnel Administration, General","University of California, Riverside",VL Senior Living,Belmont Village Senior Living,,623110 Skilled nursing facilities,,62,,,Health Care and Social Assistance,32.71742,-117.162773,California,San Diego,San Diego,06073
"New York, New York, United States",SVP of Strategic Partnerships and Monetization at Drizly,"Vice President Partnerships, Peacock at Peacock TV",The University of Chicago Booth School of Business,"Concentrations in Strategic Management, Economics, Marketing Strategy and General Management","University of California, Riverside",Drizly,Peacock TV,561990 Trading stamp redemption services,515120 Television broadcasting stations,56,51,Administrative and Support and Waste Management and Remediation Services,64366.438,Information,40.712728,-74.006015,New York,,New York,36061
"Boston, Massachusetts, United States","Senior Director, External Innovation, Business Development at Vertex Pharmaceuticals","Director, Data Strategy and Solutions at Vertex Pharmaceuticals",Touro College of Pharmacy,Pharmacy,"University of California, Riverside",Vertex Pharmaceuticals,Vertex Pharmaceuticals,541715,,54,,"Professional, Scientific, and Technical Services",77645.346,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
Los Angeles  ,"Vice President Operations at VEGAMOUR, INC.",Launch Consultant at Hustle & Blush Inc,The Wharton School,,"University of California, Riverside","VEGAMOUR, INC.",Hustle & Blush Inc,"423850 Water treatment equipment, municipal, merchant wholesalers",,42,,Wholesale Trade,68623.359,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,Member at Chief,"Vice President, Digital Media at Live Nation Entertainment",Education (same page),"Business Administration, Marketing","University of California, Riverside",Chief,Live Nation Entertainment,,711410 Theatrical talent agents,,71,,,"Arts, Entertainment, and Recreation",34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Scranton, Pennsylvania, United States",Supply Chain Manager at CANPACK US,Director of Purchasing at Gertrude Hawk Chocolates,Penn State University,Business Logistics,"University of California, Riverside",CANPACK US,Gertrude Hawk Chocolates,"332431 Tin plate cans, light gauge metal, manufacturing",311340 Toffee manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,41.408687,-75.662129,Pennsylvania,Lackawanna,Scranton,42069
"San Francisco, California, United States",Executive Vice President at Wells Fargo,"Vice President - Virtual Care,Analytics and Innovation at Kaiser Permanente",Harvard Business School,Computer Science,"University of California, Riverside",Wells Fargo,Kaiser Permanente,522110 State commercial banks,524114 Medical service plans without providing health care services,52,52,Finance and Insurance,80163.492,Finance and Insurance,37.779026,-122.419906,California,,San Francisco,06075
"Rancho Cucamonga, California, United States",Human Resources Director at City of Rancho Cucamonga,Director of Human Resources at City of Azusa,1984–1989,Political Science,"University of California, Riverside",City of Rancho Cucamonga,City of Azusa,"921110 President's office, United States","921110 President's office, United States",92,92,,,,34.127927,-117.564322,California,San Bernardino,Rancho Cucamonga,06071
,Founder of DashBill at DashBill,"Vice President of Finance  at Associated Students of the University of California, Riverside","University of California, Riverside","Business Administration and Management, General","University of California, Riverside",DashBill,"Associated Students of the University of California, Riverside",,,,,,,,,,,,,nan
,Marketing Manager at GLAMNETIC,Launch Project Coordinator  at GLAMNETIC,"University of California, Riverside",Business Adminstrations Concentration in Marketing,"University of California, Riverside",GLAMNETIC,GLAMNETIC,,,,,,,,,,,,,nan
,Purchasing Manager at WinFibre (U.S.) Incorporated,Logistics Analyst at WinFibre (U.S.) Incorporated,"University of California, Riverside",Political Science,"University of California, Riverside",WinFibre (U.S.) Incorporated,WinFibre (U.S.) Incorporated,423930 Waste materials merchant wholesalers,423930 Waste materials merchant wholesalers,42,42,Wholesale Trade,68623.359,Wholesale Trade,,,,,,nan
"Los Angeles, California, United States",Business Owner at Lotus Botanicals CBD,Human Resources Assistant at Allied Universal,"University of California, Riverside",Psychology,"University of California, Riverside",Lotus Botanicals CBD,Allied Universal,,561720 Window cleaning services,,56,,,Administrative and Support and Waste Management and Remediation Services,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Belmont, California, United States",Chief Financial Officer at ParentSquare,Consulting CFO at Derick Sutton Consulting,UNC Kenan-Flagler Business School,Strategy,"University of California, Riverside",ParentSquare,Derick Sutton Consulting,"511210 Utility software, computer, packaged",,51,,Information,73855.595,,37.516493,-122.294191,California,San Mateo,,06081
"San Diego County, California, United States","Director, Systems Engineering at Acutus Medical, Inc.","Senior Manager, Systems Engineering at Acutus Medical, Inc.","University of California, Riverside",Bioengineering,"University of California, Riverside","Acutus Medical, Inc.","Acutus Medical, Inc.",339112 Veterinarians' instruments and apparatus manufacturing,339112 Veterinarians' instruments and apparatus manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,32.963784,-116.770628,California,San Diego,,06073
"San Diego, California, United States",Director Of Engineering at Northrop Grumman,Program Manager at Northrop Grumman Corporation,University of Phoenix,Technology Management,"University of California, Riverside",Northrop Grumman,Northrop Grumman Corporation,"334511 Wheel position indicators and transmitters, aircraft, manufacturing","334511 Wheel position indicators and transmitters, aircraft, manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,32.71742,-117.162773,California,San Diego,San Diego,06073
San Francisco Bay ,Marketing Manager at Tuft & Needle,Marketing Manager at Pottery Barn,"University of California, Riverside",Marketing,"University of California, Riverside",Tuft & Needle,Pottery Barn,337910 Water bed mattresses manufacturing,442299 Wood-burning stove stores,31-33,44-45,Manufacturing,69174.562,Retail Trade,37.714029,-122.307794,California,San Mateo,,06081
"Santa Monica, California, United States",Founder at Raz Public Relations,"Public Relations Manager at Electric Image, Inc.",1989–1992,Political Science,"University of California, Riverside",Raz Public Relations,"Electric Image, Inc.",,,,,,,,34.01947,-118.491227,California,Los Angeles,Santa Monica,06037
"Oceanside, California, United States",Director Of Information Technology at Peninsula Credit Union,Director Of Information Technology at Frontwave Credit Union,1998–2001,Computer Science,"University of California, Riverside",Peninsula Credit Union,Frontwave Credit Union,"522310 Mortgage brokers' or agents' offices (i.e., independent)","522130 Unions, credit",52,52,Finance and Insurance,80163.492,Finance and Insurance,33.19587,-117.379483,California,San Diego,Oceanside,06073
"Orange County, California, United States","Senior Manager, Digital CRM at DRUNK ELEPHANT","Senior eCommerce Manager, North America at Bondi Sands","University of California, Riverside",Creative,"University of California, Riverside",DRUNK ELEPHANT,Bondi Sands,561499 Videoconferencing services,"325620 Towelettes, premoistened, manufacturing",56,31-33,Administrative and Support and Waste Management and Remediation Services,64366.438,Manufacturing,33.750038,-117.870493,California,Orange,,06059
Raleigh-Durham-Chapel Hill ,"Director of Commercial Marketing, North America Intelligent Devices Group at Lenovo","Director of Marketing, North America Infrastructure Solutions Group at Lenovo",1988–1992,Business Administration,"University of California, Riverside",Lenovo,Lenovo,518210 Web hosting,518210 Web hosting,51,51,Information,73855.595,Information,35.855048,-78.84066,North Carolina,Wake,,37183
Washington DC-Baltimore ,Director Of Marketing And Business Development at Defense Trade Solutions,Business Development Manager at FOX Architects,2007,"Economics, Marketing","University of California, Riverside",Defense Trade Solutions,FOX Architects,,541310 Building architectural design services,,54,,,"Professional, Scientific, and Technical Services",38.918116,-76.942107,District of Columbia,Prince George's,Washington,nan
