,current_location,current_work,previous_work,latest_Education,major,search_school
1291,"Charlotte, North Carolina, United States",Head of Marketing Transformation at Equitable,Head of Brand Experiences at TIAA,+ 2 more,International Relations & Latin American Studies,Brown University
1292,"New York, New York, United States",Chief Business Officer at VMLY&R,President at Ampush,Brown University,,Brown University
1293,New York City Metropolitan Area,"Vice President, Global Marketing, Skincare at Elizabeth Arden","Senior Director, Global Marketing Skincare at Elizabeth Arden",Harvard Business School,"Marketing, Management",Brown University
1294,"Austin, Texas, United States",Senior Director Of Engineering at Google,"VP Engineering & Group Manager, Infrastructure and Engineering Platforms at Indeed.com",Brown University,Computer Science,Brown University
1295,Greater Chicago Area,Chief Transformation Officer - Head of Claims Transformation and Analytics at The Hanover Insurance Group,"Chief Financial Officer, Claims | Head of Claims Analytics at The Hanover Insurance Group",Brown University,Economics and Organizational Behavior & Management,Brown University
1296,"Los Angeles, California, United States","Chief Product Officer at Tinder, Inc.","Head of Revenue, Tinder at Tinder, Inc.",2003–2003,,Brown University
1297,"Sudbury, Massachusetts, United States","President at Dynaflo, Inc.",VP Marketing & Sales at Dynaflo Inc,Brown University,Mechanical Engineering,Brown University
1298,"Sudbury, Massachusetts, United States","President at Dynaflo, Inc.",VP Marketing & Sales at Dynaflo Inc,Brown University,,Brown University
1299,Washington DC-Baltimore Area,"Vice President, Fraud and Disputes Customer Experience and Horizontal Strategy at Capital One","Vice President, Strategy at Capital One",Harvard Business School,Cognitive Neuroscience,Brown University
1300,Greater Boston,"Executive Director, Strategic Sourcing R&D at Vertex Pharmaceuticals","Sr. Director, Procurement & Strategic Sourcing at Vertex Pharmaceuticals",Lehigh University,"Business Administration and Management, General",Brown University
1301,"Tallahassee, Florida, United States","Founder and Chief Executive Officer at Luminous Development Group, LLC","Founder and Chief Executive Officer at White Light Consulting, LLC",Harvard University,Management,Brown University
1302,"Boston, Massachusetts, United States",Chief Operating Officer at Apnimed Inc.,"CEO at Helperby Therapeutics, USA",1996–1998,"Business Administration, Healthcare Management",Brown University
1303,"San Francisco, California, United States",Chief Technology Officer at Oxide Computer Company,Chief Technology Officer at Joyent,1992–1996,Computer Science,Brown University
1304,Greater Boston,"Senior Vice President, Drug Discovery at Expansion Therapeutics","Vice President, Drug Discovery at Goldfinch Bio",1991–1997,Synthetic Organic Synthesis,Brown University
1305,Greater Boston,"Director, Commercial Operations and Analytics at Agios Pharmaceuticals","Director, New Products Planning, Commercial Analytics at Sunovion Pharmaceuticals",Brown University,Neuroscience,Brown University
1306,"New York, New York, United States","VP, Sourcing Technology at FTV Capital",Technical Director at Code and Theory,Brown University,"Computer Science, Economics",Brown University
1307,San Francisco Bay Area,Director of Data Science at Roblox,"Head of Data Science, Uber Elevate at Uber",Stanford University,Computer Science (Algorithm Design and Analysis),Brown University
1308,"West Chester, Pennsylvania, United States",President at Virtu.US,"Chief of Staff at Lt. Governor/Acting Governor, Pennsylvania",Columbia University School of Law,Political Science,Brown University
1309,San Francisco Bay Area,Head of Product at Parabola,"Product Lead, Dropbox Business at Dropbox",Brown University,International Relations,Brown University
1310,"Cambridge, Massachusetts, United States",Affiliate + Instructor at MIT Media Lab,Founder + President at MIT Biotech Group,Massachusetts Institute of Technology,MIT Media Lab,Brown University
1311,"New York, New York, United States","General Manager, channel partner program at Squarespace",Business Development & Strategy Operations at Squarespace,2003–2006,Law,Brown University
1312,"Phoenix, Arizona, United States",Chief Revenue Officer (CRO) at Wana Brands,"Director of SaaS Innovation:  Latin America, Latin Europe, Caribbean and Israel  at EBSCO Information Services",Brown University,"Finance, General",Brown University
1313,"Kansas City, Missouri, United States",President at Kansas City Chiefs,Chief Operating Officer at Kansas City Chiefs,Brown University,Political Science Organizational Behavior and Management,Brown University
1314,"Phoenix, Arizona, United States",COO/CFO at Arcas Machine Inc,Managing Director at Investcorp,Brown University,"Business Administration, Management and Operations",Brown University
1315,500+ connections,Chief Business Officer at Anycart,Chief Business Officer at Neurotrack,Wharton School of Business,Computer Engineering,Brown University
1316,"Providence, Rhode Island, United States",Executive Director Of Operations & Revenue Cycle at Southcoast Health,Director of  Coding at Lifespan,Brown University,Health/Health Care Administration/Management,Brown University
1317,Greater Chicago Area,Product Development and Innovation Director - US & UK at ZENB,"Director of Marketing, Innovation & Research at Simple Mills",+ 1 more,"Marketing,  Management Strategy",Brown University
1318,"Mount Kisco, New York, United States","Managing Partner, Chief Strategy Officer at Calcium","Managing Partner, Chief Creative Officer at Calcium USA",Brown University,American Civilization,Brown University
1319,"New York, New York, United States",President at Cosentini Associates,,Brown University,Mechanical Engineering,Brown University
1320,"Geneva, Geneva, Switzerland",Partner at JAL Ventures Ltd.,Board Member at Factor8 SA,1994–1998,"Economics, French Lit.",Brown University
1321,"Beverly, Massachusetts, United States",Co-Founder & Director at Build Health International,Director of Infrastructure at Partners In Health,Salem State University,Political Science and Government,Brown University
1322,"Beverly, Massachusetts, United States",Co-Founder & Director at Build Health International,Director of Infrastructure at Partners In Health,Salem State University,,Brown University
1323,"Franklin, Massachusetts, United States","Sr. Director, Analytics & Automation at Hologic, Inc.","Sr. Director, Business Analytics and Insights at Hologic, Inc.",1994–1996,"Finance and Operations, with University Honors",Brown University
1324,"New York, New York, United States",Partner & VP of Client Solutions at Blue Label Labs,Co-Founder at MyCallSheets,Brown University,International Relations and Economics,Brown University
1325,"New York, New York, United States",Owner at Whitman Insight Strategies,"Principal at Penn, Schoen & Berland",Brown University,Political Science & International Relations,Brown University
1326,"Cambridge, Massachusetts, United States","Director, Analytics, Data & Diagnosis Strategy at Alnylam Pharmaceuticals","Associate Director, Analytics & Information Management at Alnylam Pharmaceuticals",Brown University,Public Health,Brown University
1327,"Lafayette Hill, Pennsylvania, United States",General Manager at Southeastern Pennsylvania Transportation Authority (SEPTA),PennDOT Secretary at Commonwealth of Pennsylvania,1991–1993,Environmental/Regional Planning,Brown University
1328,"Lincoln, Rhode Island, United States","Chief Commercial Officer at Accure Acne, Inc.",President and General Manager  at Thermi,1998–2003,Biology,Brown University
1329,"New York, New York, United States","VP, Social Good and Nonprofit Partnerships at Dataminr",Sabbatical at Sabbatical,Duke University - The Fuqua School of Business,Biology,Brown University
1330,"Orlando, Florida, United States",President at TopoDOT,President at Riegl,1987–1990,Mechanical Engineering,Brown University
1331,"New York, New York, United States",Chief Financial Officer at Veggies Made Great® (New Classic Cooking),President at Rudofsky Associates,University of Pennsylvania - The Wharton School,Finance and Accounting,Brown University
1332,"Denver, Colorado, United States","Senior Director - Global Inclusion, Diversity, Equity & Action - Associate Experience & Culture at VF Corporation","Senior Director, Global Talent Acquisition at VF Corporation",Brown University,Organizational Behavior & Management and Business Economics,Brown University
1333,Greater Philadelphia,Managing Director at Strategic Exit Advisors (SEA),Chief Financial Officer at Relay Network,1985–1989,"Economics, History",Brown University
1334,"Austin, Texas, United States",,Chief Operating Officer at A Cloud Guru (Acquired by Pluralsight),Wharton Business School,,Brown University
1335,Greater Boston,"Senior Director, Product Management and Strategy at Houghton Mifflin Harcourt",Director Of Product Development at Museum of Science,Brown University,,Brown University
1336,Los Angeles Metropolitan Area,"SVP and General Manager, BET Digital at ViacomCBS","EVP, Digital + Chief Content Officer at Entertainment Studios",Brown University,Political Science and French,Brown University
1337,Greater Boston,"Vice President, Head of Nonclinical Drug Safety & Translational Sciences at Generation Bio","Executive Director, Head of Toxicology (acquired by Sanofi in Feb 2019) at Bioverativ",Brown University,Reproductive Toxicology,Brown University
1338,"Boston, Massachusetts, United States","Product Manager at REAL System by Penumbra, Inc.","Marketing Associate at REAL System by Penumbra, Inc.",Brown University,Biotechnology,Brown University
1339,"Atlanta, Georgia, United States","Sales Enablement Marketing Practitioner & Revenue Recovery Strategist at Marketing First Aid, LLC",Family Leave Career Pause at The Mom Project,The Wharton School,"CBE Certificate, Issued June 2021",Brown University
1340,New York City Metropolitan Area,Executive Director of Home at Anthropologie,Vice President of Private Brands at Belk,Rhode Island School of Design,Apparel and Textiles,Brown University
1341,"Washington, District of Columbia, United States","Deputy Director, FIMA Integration Office at FEMA","Associate Director, Strategy & Operations at KPMG US",Brown University,Mechanical Engineering,Brown University
1342,"London, England, United Kingdom",Director - Integration & Business Development at Watchfinder,"Director, UK Market & Global Strategy at Jaeger-LeCoultre",1997–1999,"Retail, Marketing, Omni-channel Distribution, General Management",Brown University
1343,"Hampton Falls, New Hampshire, United States",Chief Operating Officer at Anaqua,Chief Financial Officer at Anaqua,2002–2004,,Brown University
1344,"San Francisco, California, United States",Director | Global Strategy at Airbnb,Director | Business Operations at Airbnb,Brown University,Philosophy and Computer Science,Brown University
1345,Stockholm Metropolitan Area,Founder & CEO at Alva Labs,Venture Lead at EQT Ventures,Stockholm School of Economics,Accounting and Economics,Brown University
1346,"Los Angeles, California, United States","Chief Executive Officer and Founder at iStreem Media, LLC",Executive Director and Founder at INSTITUTE FOR CRITICAL INFORMATION AND INFRASTRUCTURE PROTECTION (ICIIP),University of Southern California - Marshall School of Business,Entrepreneurial Studies and Global Marketing,Brown University
1347,"Miami, Florida, United States","Sr. Director, Business Operations & Strategy at Magic Leap","General Manager, Southeast US at ofo",Yale School of Management,"Business Administration and Management, General",Brown University
1348,"Palo Alto, California, United States",Chief Technology Officer at Hyperscience,"Head of Engineering, Security and IT at Snapdocs",1992–1996,Engineering,Brown University
1349,"Seattle, Washington, United States",CEO at BLUE ORIGIN,President - Mechanical Systems & Components at Honeywell Aerospace,1997–1998,Business,Brown University
1350,United Arab Emirates,CEO at MAGRABi,Chief Financial Officer at MAGRABi,2007–2007,Strategy,Brown University
1351,"Jersey City, New Jersey, United States",Chief Operating Officer at Ever/Body,Chief Operating Officer at GLAMSQUAD,Brown University,Hispanic Language and Linguistics,Brown University
1352,"Seattle, Washington, United States",Co-Founder and CTO at Modern Electron,Entrepreneur In Residence at Intellectual Ventures,Harvard University,Chemistry,Brown University
1353,"Mumbai, Maharashtra, India",Co-Founder at Clever Harvey,Senior Associate at PwC UK,Brown University,Economics and South Asia Studies,Brown University
1354,"Atlanta, Georgia, United States",Founder at Solar Stewards,Solar Energy Consultant at Solar Concierge,Brown University,"Social Entreprenuership, Emerging Markets",Brown University
1355,"Dallas, Texas, United States",Founder and CEO at Barsala,"Senior Director - New BD, Corp Dev, Alliances at Parallels (acquired by KKR)",University of Pennsylvania - The Wharton School,"Electrical Engineering, Economics",Brown University
1356,"Nashville, Tennessee, United States",CEO and Founder at Cortex,Senior Associate (Engagement Manager) at Booz & Company,Brown University,History,Brown University
1357,"Boston, Massachusetts, United States",Chief Operating Officer at Cricket Health,Chief Financial Officer at Cricket Health,The Wharton School,Double Major: Statistics & Entrepreneurship,Brown University
1358,"Delhi, India",Co-Founder and Chairman at SirionLabs,Co-Founder and Chief Solutions Officer at UnitedLex Corporation,Columbia University School of Law,Law,Brown University
1359,Dallas-Fort Worth Metroplex,CTO at Authentix,"Chief Scientist at Authentix, Inc.",1994–1998,Chemistry,Brown University
1360,"Seattle, Washington, United States",President and CEO at CheckSum LLC,President at Quest Integrated,Brown University,Geological and Earth Sciences/Geosciences,Brown University
1361,"Washington, District of Columbia, United States",President / Co-Founder at Optoro,Chief Operating Officer / Co-Founder at Optoro,Brown University,"History, International Relations",Brown University
1362,"San Francisco, California, United States","Founder, CEO at TopFunnel",Entrepreneur in Residence at Redpoint Ventures,Brown University,Computer Science,Brown University
1363,"New York, New York, United States","CEO and Founder at Marstone, Inc.",Financial Advisor at Merrill Lynch,Brown University,English,Brown University
1364,"Lexington, South Carolina, United States",Director of Innovation at Greystar,Corporate Innovation Consultant  at Self-employed,University of Virginia - Darden Graduate School of Business Administration,Marketing,Brown University
1365,"Houston, Texas, United States",Founder and CEO at Everpoint Services,Co-Founder and Managing Partner at TH Partners Group,Brown University,Economics,Brown University
1366,United States,Chief Operating Officer at Club Feast,Portfolio Manager at Brahman Capital,Brown University,Applied Mathematics and Economics,Brown University
1367,"Atlanta, Georgia, United States",Head of Product at The SaaS Studio,VP of Product at Ionic,Kellogg,"Marketing, Technology, and Strategy",Brown University
1368,Greater Boston,Director of US Strategy at National at National Grid,Acting Head of US Strategy at National Grid,University of Colorado at Boulder - Leeds School of Business,Finance,Brown University
1369,"Portland, Oregon, United States","Senior Director, Global Integrated Media at Nike",Media Director at Razorfish,Brown University,Education,Brown University
1370,"Portland, Oregon, United States","Senior Director, Global Integrated Media at Nike",Media Director at Razorfish,Brown University,,Brown University
1371,"Needham, Massachusetts, United States",President at LeMaitre Vascular,"Vice President of Development at Parasole Restaurant Holdings, Inc.",Stanford University Graduate School of Business,,Brown University
1372,New York City Metropolitan Area,"Managing Director, Head of Communications at Thomas H. Lee Partners",Head Of Communications at Citadel Securities,+ 2 more,History,Brown University
1373,"Oakland, California, United States",VP Enterprise Strategy and Executive Programs at Box,President at Brown Club of Silicon Valley,Brown University,Computer Science,Brown University
1374,"Madrid, Community of Madrid, Spain",International Business Development Manager at Userlytics Corporation,Project Manager at VSK Insurance Company,IE School of Human Sciences and Technology (HST),Digital Business and Innovation,Brown University
1375,"Irvington, New York, United States",Data & Analytics Program Manager at Success Academy Charter Schools,Senior Analyst at Success Academy Charter Schools,Columbia University in the City of New York,"Slavic Languages, Literatures, and Linguistics",Brown University
1376,"Denver, Colorado, United States","Senior Vice President, Head of Market at Lumeris","Vice President, Strategic Partnerships at Lumeris",Brown University,Healthcare Leadership,Brown University
1377,"Manchester, Massachusetts, United States","Manager, Simulation, Robotics & Digital Solutions at Johnson & Johnson",Founder at Design for Complex Systems,Rhode Island School of Design,Industrial Design,Brown University
1378,"New York, New York, United States",Founder at OK Strategies,Director of Social & Content at Cleancult,Brown University,Visual Arts,Brown University
1379,"New York, New York, United States",Associate Director at Balyasny Asset Management L.P.,Project Leader at Boston Consulting Group (BCG),The Wharton School,"Management, Finance",Brown University
1380,"Berlin, Berlin, Germany",Senior Innovation Manager | Sustainable Packaging at Zalando,Design & Technology Outreach Consultant (Europe) at Kickstarter,Rhode Island School of Design,Furniture Design,Brown University
1381,New York City Metropolitan Area,"Digital Engagement Consultant, Healthcare at Twilio Inc.","Vice President, Provider Market at higi",Brown University,Public Health and Leadership,Brown University
1382,"Santa Monica, California, United States","Vice President, Strategy and Business Development at A+E Networks","Director, International Strategy & Business Development  at Starz",Brown University,Economics,Brown University
1383,"Providence County, Rhode Island, United States",Director of Primary Market Research at Schneider Electric,Director of Market Analysis - North America at Schneider Electric,The Wharton School,"Finance, General",Brown University
1384,500+ connections,Senior Software Engineer at Visa,Data Science Practicum at IEEE,Brown University,Data Science,Brown University
1385,Greater Boston,"Diversity, Equity, and Inclusion at Robin",Business Development Representative at Robin,Brown University,Political Science and Government,Brown University
1386,Greater Boston,"Diversity, Equity, and Inclusion at Robin",Business Development Representative at Robin,Brown University,,Brown University
1387,"Greensboro, North Carolina, United States",Radiologist at Valley Radiology,"Board of Directors at National Women's History Museum, Board of Directors",Brown University,Neuroscience,Brown University
1388,"Greenwich, Connecticut, United States","Chairman and CEO at XPO Logistics, Inc.","Chairman and CEO at United Rentals, Inc.",Brown University,,Brown University
1389,"West Orange, New Jersey, United States",President at InterPrivate III Financial Partners Inc. (NYSE: IPVF.UN),Director at Belmont Green Finance Limited,Columbia University - Columbia Business School,Finance and Entrepreneurship,Brown University
1390,New York City Metropolitan Area,Partner at Kiernan Trebach LLP,"Partner at Kenney Shelton Liptak Nowak, LLP",Brown University,,Brown University
1391,"New York, New York, United States",Vice President at Bessemer Venture Partners,Interim Chief Executive Officer at FOLX Health,The Warren Alpert Medical School of Brown University,Neuroeconomics,Brown University
1392,"New York, New York, United States",Investor at ICONIQ Capital,Associate / Senior Associate at GCM Grosvenor,The Wharton School,Economics,Brown University
1393,"Los Angeles, California, United States",Co-founder and CEO at Fourthwall,"Software Development Engineer - Level II (L9) [Part Time] at Audible, Inc.",Brown University,Electrical and Electronics Engineering,Brown University
1394,"Los Angeles, California, United States",Co-founder and CEO at Fourthwall,"Software Development Engineer - Level II (L9) [Part Time] at Audible, Inc.",Brown University,,Brown University
1395,"Nashville, Tennessee, United States",Chief Executive Officer & Board Member at Wellvana Health,Chief Financial Officer at SmileDirectClub,Brown University,Neuroscience and Pre-medicine,Brown University
1396,"San Francisco, California, United States","VP, Operations at Even",Head of People at Even Responsible Finance,Stanford University Graduate School of Business,"Economics, International Relations",Brown University
1397,"Paramus, New Jersey, United States","Vice President of E-Commerce, Digital Marketing & Marketplaces at Movado Group, Inc","Business Development  at Movado Group, Inc",Brown University,Economics and Public Policy,Brown University
1398,Greater Milan Metropolitan Area,Founder and CEO at Anticipate 24/7,Member at Bocconi Students Fintech Society,Università Bocconi,Business and Economics,Brown University
1399,"San Francisco, California, United States",COO at Thistle,Co-Founder at WeGoFair,Princeton University,"Program in Science, Technology, and Environmental Policy",Brown University
1400,New York City Metropolitan Area,Cofounder & CEO at Scrible,Fellow (Silicon Valley 2010) at Startup Leadership Program,+ 2 more,"Chemical Engineering, Biotechnology/Bioengineering Emphasis",Brown University
1401,New York City Metropolitan Area,"VP of Data & Insights, Engagement at The New York Times",Head of Data at New York Magazine,Princeton University,Computational Social Science,Brown University
1402,"Denver, Colorado, United States","Executive Vice President, Software Development and IT at Charter Communications","Senior Vice President, Software Development at Charter Communications",2003–2006,,Brown University
1403,"Seattle, Washington, United States",CEO and Founder at Darwin's Natural Pet Products,Vice President of Marketing at PhotoWorks,Brown University,Concentrations in Economics and American History,Brown University
1404,"New York, New York, United States",President and Chief Executive Officer at Simon & Schuster,"President, Simon & Schuster Adult Publishing at Simon & Schuster",Brown University,American Civilization,Brown University
1405,San Francisco Bay Area,Co-Founder at Graft,Senior Researcher at VMware,Brown University,Computer Science,Brown University
1406,"Atlanta, Georgia, United States",VP Engineering - Platform at FullStory,Director of Engineering at FullStory,2004–2008,Computer Science,Brown University
1407,"New Haven, Connecticut, United States",Founder and CEO at V7 Leadership,,Brown University,,Brown University
1408,"Austin, Texas Metropolitan Area",Co-Founder and Chief Operating Officer at PelotonU,Principal at KIPP Texas Public Schools - Austin,Brown University,Public Policy & American Institutions; Political Theory,Brown University
1409,"Washington, District of Columbia, United States","Vice President - Partnerships and Alliances North America at Zillion Technologies, Inc.",Regional Vice President - Partnerships and Alliances at Nominet,Brown University,Business Administration - English Literature,Brown University
1410,"Miami, Florida, United States",Executive Vice President and Chief Customer Officer  at Citrix,Executive Vice President - Customer Experience at Citrix,1993–1997,Economics,Brown University
1411,Washington DC-Baltimore Area,COO at Leverege,Head of Operations & Projects at Leverege,Brown University,Philosophy,Brown University
1412,"Boston, Massachusetts, United States",President & CEO at Morgan Memorial Goodwill Industries,,+ 1 more,"Urban Studies, Sociology (Honors), Phi Beta Kappa",Brown University
1413,"Boston, Massachusetts, United States",Senior Director Business & Product Strategy at Staples,Director of Product Delivery & Program Management at Intralinks,Brown University,"Business Administration and Management, Leadership  & Innovation",Brown University
1414,"Los Angeles, California, United States",CEO and co-Founder at pop.in,"Advisory Board Member at Digital Content Group, LLC",Harvard Business School,Sociology and Business Economics,Brown University
1415,New York City Metropolitan Area,Head of Customer Success Strategy & Operations at Amplitude,"Director, Customer Success Strategy & Operations at HubSpot",Brown University,"Psychology & B.A., Commerce, Organizations, & Entrepreneurship",Brown University
1416,Greater Indianapolis,Chief Operating Officer at Riley Hospital for Children,Chief Medical Officer at Riley Hospital for Children at IU Health,1986–1990,Medicine,Brown University
1417,"Boston, Massachusetts, United States",Director of Growth Marketing at Hometap,Head of New Channel Development and Marketing Strategy at ezCater,Brown University,International Relations,Brown University
1418,Washington DC-Baltimore Area,Chief Marketing & Business Development Officer at Brownstein Hyatt Farber Schreck,Chief Marketing Officer at Steptoe & Johnson LLP,Education (same page),History,Brown University
1419,"Seattle, Washington, United States",Sr. Director of Product Management at Highspot,Director of Product Management at Highspot,2009–2010,Electrical Sciences and Computer Engineering,Brown University
1420,"Boston, Massachusetts, United States","Senior Vice President, Chief Information Security Office at Bain Capital","Vice President, Chief Information Security Officer at Bain Capital",Brown University,,Brown University
1421,New York City Metropolitan Area,VP of Engineering at DOTS Technology Corp,VP of Engineering at SharkNinja,2004–2008,"Mechanical Engineering, Solid Mechanics",Brown University
1422,Los Angeles Metropolitan Area,Global Digital Channel - Telco / Telecom Lead at Apple,WW Marketing Lead at Samsung Electronics,Stanford University Graduate School of Business,Candidate,Brown University
1423,"San Francisco, California, United States",Co-Founder & President at Crescendo Health,"Product at Grand Rounds, Inc.",Brown University,Biophysics and Classics,Brown University
1424,"Higganum, Connecticut, United States",CTO at SFL Scientific,Process Engineer at Intel,Brown University,Elementary Particle Physics,Brown University
1425,United States,"Executive Director, Digital & Open Enr, Executive Education & Lifelong Learning at The Darden School, University of Virginia","Senior Director, Wharton Online at The Wharton School",2018–2020,Chief Learning Officer,Brown University
1426,"Milford, Connecticut, United States",Global Chief Marketing Officer at Subway,"Chief Marketing Officer, North America  at Subway",Wharton Business School,Economics and International Relations,Brown University
1427,"Los Angeles, California, United States",Chief Operating Officer (COO) at FPA (First Pacific Advisors),"Senior Vice President, Change Management and Operational Risk Officer at First Pacific Advisors (FPA)",Brown University,Business Economics,Brown University
1428,"Berkeley, California, United States",Chief Executive Officer and CTO at PolyPlus Battery Company,,1977–1982,Chemistry,Brown University
1429,San Francisco Bay Area,"Senior Vice President of Software at Sonos, Inc.","Vice President Of Software Engineering, Okyo at Palo Alto Networks",Stanford University,Electrical Engineering,Brown University
1430,"Boston, Massachusetts, United States",Managing Partner at Appian Way Energy Partners,Managing Director & Head of Trading at Edison Mission Marketing & Trading,Harvard University Kennedy School of Government,,Brown University
1431,"Detroit, Michigan, United States",CEO at Block Harbor Cybersecurity,United States Lead at ASRG - Automotive Security Research Group,2014–2018,Computer Engineering,Brown University
1432,"Santa Clara, California, United States",Senior Director Of Engineering at Granular,Director of Engineering at REPAY - Realtime Electronic Payments,Brown University,Technology Leadership,Brown University
1433,"Los Angeles, California, United States",EVP / Chief Operating Officer at Network In A Box,Chief Operating Officer at La Reyna,1997–2001,Applied Mathematics -- Economics,Brown University
1434,"Austin, Texas, United States",Principal and Founder at Mirar,VFX Artist at Sycamore Pictures,Brown University,Semiotics,Brown University
1435,"Seattle, Washington, United States","Vice President, Global Demand Generation and Regional Marketing at Icertis","Interim CMO and Vice President, Corporate Marketing at Icertis",Northwestern University - Kellogg School of Management,"Digital Marketing Strategies, Data, and Artificial Intelligence Program",Brown University
1436,"Boston, Massachusetts, United States",Founder & CEO at Almond Finance,Founder & Director at The GENESIS Network,Harvard Kennedy School,Development Studies/Social Political and Economic Development,Brown University
1437,"Palo Alto, California, United States",Chief Medical Officer at Tenaya Therapeutics,"VP, Clinical Research, Cardiology at Cytokinetics",1989–1996,"Medicine, Neuroscience",Brown University
1438,"New York, New York, United States","SVP, Product Management at Vecna Robotics","Lead Systems Engineer, Facebook Reality Labs at Facebook",Georgia Institute of Technology,Computer Engineering,Brown University
1439,New York City Metropolitan Area,VP Sales Operations & Sales Development at MongoDB,Advisor at Eventador.io | The Streaming Data Engine for Killer Applications,2002–2006,"Development Studies, Economics",Brown University
1440,"New York, New York, United States",Head of Strategic Growth Markets and Small Business Segment at Guardian Life,Head of Corporate Development at TIAA,1998–2001,Law,Brown University
1441,Greater Philadelphia,Executive Director & Head of Clinical Operations at Jazz Pharmaceuticals,Senior Director Clinical Operations at Jazz Pharmaceuticals,Brown University,Human Biology,Brown University
1442,New York City Metropolitan Area,Co-Founder and CEO at 25Madison,Senior Managing Director at Centerbridge Partners,Columbia University School of Law,History,Brown University
1443,Greater Milan Metropolitan Area,Managing Director - Strategic Advising and Coaching on Leadership Development; Keynote Speaker at RC Consulting (www.rosecartolari.com),Chief Operating Officer /Co-Founder at Scharper S.p.A.,Columbia University - Columbia Business School,Marketing and Management,Brown University
1444,San Francisco Bay Area,"SVP, Marketing at Loom","VP and GM, Growth  at PagerDuty",Brown University,IE Brown Executive MBA,Brown University
1445,500+ connections,Head Teaching Assistant at Brown University,Software Engineer Internship at Google,Brown University,Computer Science,Brown University
1446,"Wakefield, Rhode Island, United States",Chief Executive Officer & Co-Founder at Mocingbird,Co-Founder & Chief Strategy Officer at Mocingbird,Yale School of Management,Orthopedic Spine Surgery,Brown University
1447,Greater Boston,Vice President at Orion Energy Partners,Associate at Ropes & Gray LLP,Harvard Business School,Public Policy and American Institutions,Brown University
1448,"Atlanta, Georgia, United States",Executive In Residence at IfThen,"SVP & Head of Experience Design, Business & Commercial at Truist",Brown University,Human-Centered Design,Brown University
1449,"Danbury, Connecticut, United States",President at Hamar Laser,,1989–1991,Finance,Brown University
1450,"Burlington, Vermont, United States",,Innovation Manager at Drinkworks,2004–2008,International Relations,Brown University
1451,"Princeton, New Jersey, United States",Managing Partner at Princeton Millstone Capital Management,"Managing Director, Partner at Hony Capital",Brown University,Economics,Brown University
1452,"Houston, Texas, United States","President and CEO at Ranger Energy Services, LLC",President and CEO at Express Energy Services,The University of Texas at Austin,Applied Mathematics / Economics,Brown University
1453,United States,"Global Head of Employee Experience, Diversity & Inclusion at Coinbase",Head of US Consumer Product at Care.com,Berkeley High School,International Relations,Brown University
1454,New York City Metropolitan Area,Engagement Manager at McKinsey & Company,Graduate Research Assistant at Georgia Institute of Technology,Georgia Institute of Technology,Mechanical Engineering,Brown University
1455,Washington DC-Baltimore Area,Executive Vice President at Gilbane Building Company,"Senior Vice President, Mid Atlantic at Gilbane Building Company",1993–1997,History,Brown University
1456,"New York, New York, United States",Managing Partner at Parameter Ventures,"Vice President, Venture Capital at Two Sigma Investments",Harvard Business School,Business,Brown University
1457,San Francisco Bay Area,Venture Partner at Kubera Venture Capital,Investment Associate at Twelve Venture Capital,Brown University,Economics & Development Studies,Brown University
1458,"San Diego, California, United States",Director of Partner Success at ReUp Education,Program Director at Generation Citizen,General Assembly,Product Management,Brown University
1459,"Bend, Oregon, United States",Chief Customer Officer at Smart Energy Water,Executive Vice President at Circle Media Labs Inc.,Brown University,Organizational Behavior & Management & Political Science,Brown University
1460,Greater Boston,"Principal Product Manager, Strategic Innovation at Waters Corporation",Director of Technical Innovation and Advanced Analytics at Ximedica,Brown University,Mechanics of Solids,Brown University
1461,"New York, New York, United States",Managing Director at Sixth Street,Managing Director at Perry Capital,Brown University,"Computer Science, Creative Writing (Fiction), Political Science",Brown University
1462,"Natick, Massachusetts, United States",Executive Vice President at VDC Research Group,"Vice President, M2M & Embedded Technology at VDC Research Group",Education (same page),,Brown University
1463,"San Francisco, California, United States",Head Of Finance at Retool,International GM and Chief Marketing Officer (interim) at Glassdoor,Stanford University Graduate School of Business,Business,Brown University
1464,"Columbus, Ohio, United States",Director of Marketing at Grand Circus,Assistant Vice President for University Communications & Digital Strategy at Denison University,Harvard University,History,Brown University
1465,"New York, New York, United States",VP Markets at Blockchain.com,Head of Product for Equities Technology at Citadel,Brown University,Applied Math and Computer Science,Brown University
1466,"Stanford, California, United States",Co-Founder & CEO at Firefly,Fellow at Sequoia Capital,Stanford University Graduate School of Business,Mechanical Engineering,Brown University
1467,"Stanford, California, United States",Co-Founder & CEO at Firefly,Fellow at Sequoia Capital,Stanford University Graduate School of Business,,Brown University
1468,San Francisco Bay Area,Chief Scientific Officer at Tivic Health,"Advisor at Healthiest, Inc.","University of California, San Francisco",Neuroimmunology,Brown University
1469,"Chestnut Hill, Massachusetts, United States",CEO at Mobile Heartbeat,Executive Partner at Bulger Capital Partners,Harvard Business School,General Management,Brown University
1470,"Oakland, California, United States",President & CEO at VolunteerMatch,Chief Imagination Officer / Leadership Team at VolunteerMatch,1986–1990,Public Policy,Brown University
1471,"Carlsbad, California, United States",President at Dr. Bronner's,English Teacher at Higashiosaka Board of Education,1993–1997,,Brown University
1472,"New York, New York, United States",Co-Founder and Co-CEO  at Hilma,Senior Business Development Manager at Dia&Co,Brown University,,Brown University
